Id,TeamMemberRole,AccountAccessLevel,OpportunityAccessLevel,CaseAccessLevel,CreatedDate,AccountId,UserId
01M3lfDf33ElnGlMT8,Sales Engineer,Edit,Read,Edit,2022-11-10T17:40:39Z,001bEjr0cyFC7SBAXL,005RuPGFXVl50YyAI2
01MtVDRN2RQvzOjUHJ,Executive Sponsor,Edit,Read,Edit,2025-03-04T16:48:14Z,001PuTTthcGKMiPQUX,0056kxsLcWcZ0y6Y1M
01Mgq31lh6WLAM8MKV,Support,Edit,Read,Read,2021-03-07T07:54:18Z,001F0HyTq0ZVe9LIP9,005IKQxHrnOfGBxYIU
01MXGU3TCSR6V5EU2W,Support,Edit,Read,Read,2021-11-08T19:47:25Z,001GvUdh6yZWB0wIIH,0056BILiQX0m1w8QY3
01MFPgaUYM949RNE48,Sales Engineer,Edit,Read,Read,2026-05-23T12:37:44Z,001g2MhymLdN59YQJG,005G7PmEiXypty3IQL
01Mq02yQncHqQKMMAZ,Sales Engineer,Read,Edit,Edit,2023-09-07T06:03:48Z,001j7iSsvqojgmCYMF,005xwhqeeWgm4agYMN
01MHB8CGLTIT9kDM8P,Sales Engineer,Read,Read,Read,2021-04-02T18:11:16Z,001sS1Mj9gSLRavQC2,0051j8xdsf40yysQI6
01MeN8LddpCzQOKMF4,Sales Engineer,Read,Edit,Read,2022-10-28T18:06:57Z,001QlR8r1Q5bRm4IG1,005RHpTOWiLP3HTIID
01MfB4wJIJ0tDzqEYX,Executive Sponsor,Edit,Read,Edit,2023-07-05T00:43:06Z,001apZYag4darBdYRL,005X9VIRE3gtc1zYMH
01MChr7qkIUXXBfEA7,Support,Read,Edit,Edit,2023-09-07T12:14:19Z,001Ivp9E6TmWQvuQ35,005G7PmEiXypty3IQL
01Msy9omWeIbPX1E9C,Account Manager,Edit,Edit,Edit,2023-09-16T23:46:32Z,001ChwEVGrfK5bMI0W,0051j8xdsf40yysQI6
01MOvqLnANejsrBU57,Account Manager,Edit,Read,Read,2023-08-31T13:34:56Z,001tvKQbYklnB9tY2P,005yqybzTtVK8u6IOR
01M32qe4lgtJPfbM6Y,Sales Engineer,Read,Edit,Read,2024-12-27T18:12:26Z,001S6Q42Y1rkKzpYHW,005uepIIzxcmHrDI1O
01M9ztk5V29KAbCE39,Support,Edit,Read,Edit,2021-05-18T12:32:33Z,001tvKQbYklnB9tY2P,005W8vdEbVdzOCdA62
01MXwYn7IP6MqvN2O5,Executive Sponsor,Edit,Edit,Edit,2024-05-27T06:00:25Z,001FChipDL8FyVaQQG,005LSah1u1GnYGbYOG
01MBo7mvDQtWW0fUH4,Support,Edit,Edit,Read,2021-08-25T02:25:35Z,001tvKQbYklnB9tY2P,005k3rdmx8LrOE0AIT
01MzCvjrrNjTAe7EO5,Account Manager,Edit,Edit,Edit,2026-02-28T00:58:04Z,0011Ah4A4sWSLAjA4O,005si8rNhwYkQikIOL
