Id,Name,Type,Status,StartDate,EndDate,Description,CreatedDate,IsActive,NumberSent,BudgetedCost,ActualCost,ExpectedRevenue,ParentId
701WVcR9nBSbxB9QPQ,2025 Regional Workshop 1,Conference,Completed,2025-04-05,2025-07-21,Synthetic campaign for market education and customer engagement.,2025-03-28T00:37:24Z,0,46170,53658.07,41656.42,280847.65,
7015YLzMnRKmB7vYCD,Danielle Thomas D,Email,Planned,2024-02-10,2024-04-27,Synthetic campaign for market education and customer engagement.,2023-11-12T04:40:45Z,1,31717,101417.42,85595.96,385210.52,
701AUP2DWX9vWyrQNF,Colin Veronica M,Email,Aborted,2024-04-16,2024-07-22,Synthetic campaign for market education and customer engagement.,2024-03-13T11:10:12Z,0,2637,21241.43,14138.05,94119.97,
701pfJwmBOK4mvZIF5,George Joshua M,Email,In Progress,2025-04-05,2025-05-27,Synthetic campaign for market education and customer engagement.,2025-03-02T19:19:07Z,1,28661,224690.05,248392.48,1498371.29,
701Y1pqcY2jefLaYDN,2026 Regional Workshop 5,Webinar,Planned,2026-03-04,2026-07-26,Synthetic campaign for market education and customer engagement.,2026-01-04T13:26:38Z,1,30231,70343.47,60872.71,535703.85,
701T7xJocH3zs1NQYF,Anna Nicole B,Conference,Aborted,2024-01-22,2024-07-12,Synthetic campaign for market education and customer engagement.,2024-01-04T17:08:25Z,0,34258,195687.41,182418.66,1294062.39,
701iu7etaRTqbMlANW,Ryan April S,Email,Completed,2026-03-25,2026-08-31,Synthetic campaign for market education and customer engagement.,2026-03-12T04:53:16Z,0,43249,27677.82,20728.64,173417.72,
7016crDLINhcuvpAZH,2022 Regional Workshop 8,Email,In Progress,2022-11-12,2023-03-10,Synthetic campaign for market education and customer engagement.,2022-08-21T11:32:53Z,1,29467,123366.16,112736.84,593395.28,
701PvobyJwhiNxZY1C,Thomas Juan B,Workshop,In Progress,2021-12-22,2022-04-07,Synthetic campaign for market education and customer engagement.,2021-11-18T07:10:24Z,1,29461,191634.08,219343.8,1204554.51,
7016JVvcTYMBRjjQNA,Todd Brian Cummings,Conference,In Progress,2024-05-17,2024-08-23,Synthetic campaign for market education and customer engagement.,2024-05-02T01:38:29Z,1,43088,219642.41,176855.47,891178.97,
701wT1CSqLaO8zTQ5F,Corey Adam Novak,Conference,Planned,2021-09-20,2022-01-29,Synthetic campaign for market education and customer engagement.,2021-07-02T05:54:39Z,1,7269,115886.06,110294.49,740530.74,
701fmMnRrUO2XdcI3Y,2021 Regional Workshop 12,Email,Aborted,2021-06-07,2021-08-18,Synthetic campaign for market education and customer engagement.,2021-05-02T21:13:54Z,0,21905,165880.7,160831.2,929665.19,
