Id,Status,FirstRespondedDate,CreatedDate,HasResponded,CampaignId,ContactId,LeadId
00v4A9HxDAln6koIMJ,Responded,2022-10-27,2022-10-21T08:10:11Z,1,701C5GBKeBniO3YY7J,003nbABOCORgwMAA2H,
00vxA11pvEdMzPyQCQ,Opened,,2023-07-02T15:15:04Z,0,701fmMnRrUO2XdcI3Y,003S0zQPftBY4rtA8O,
00vr3S2vJM5OiA0A0X,No Show,,2023-07-04T09:26:29Z,0,701qSlEpW8tT5lJI6V,003OeYdS2JreqvUACI,
00vJJuqNzou6T88YIM,No Show,,2022-10-27T00:04:42Z,0,701fmMnRrUO2XdcI3Y,003RFA3C5PZtjYrIEF,
00vwQg8kaoxhSNNQGU,Attended,2023-10-15,2023-09-19T23:07:19Z,1,701dYnYIqY2uFSNQNW,0032vDjj6EPdDIQYFG,
00v3hYqIBG9l50DQ43,No Show,,2024-07-29T04:22:08Z,0,7017jaJGBUyVDFxICV,003hUPu3ZRXotU8YK5,
00vduhSp0EgKnBEAOP,Attended,2021-10-15,2021-10-10T17:26:28Z,1,7016crDLINhcuvpAZH,0031VD9UKg8CI6sQCH,
00v6DOsnjEp18QWYD3,Responded,2021-05-19,2021-05-11T19:41:36Z,1,701T7xJocH3zs1NQYF,003qZ2BFiYFEDWNAQ2,
00vfIllSo47jpPVIPM,Attended,2021-09-02,2021-08-30T12:54:35Z,1,701rMiZr5gPnYq4I3U,0033Ovu7A9ADGEqYAE,
00v9purZZJBF853ADE,No Show,,2021-07-15T21:47:32Z,0,701VENsf4RdiXcPYUH,003O1DPI7Ashi5WA7I,
00v4kZdQxFIOTYqY1H,Attended,2024-05-03,2024-04-22T00:37:26Z,1,701HZkqvaYkvEU4AAJ,003bou0dAYXn7MIQQ7,
00vy3OcX5khxKloYP0,Sent,,2021-09-24T18:37:13Z,0,701PnzYm01TO5qEICN,003uvIfIopZaMbyQ8S,
00vpJs3mLA8FRzMIHL,Responded,2021-06-27,2021-05-14T22:33:49Z,1,701fmMnRrUO2XdcI3Y,003XCSqIckOHn4lIIS,
00vw9wJsxUIUBMZI6F,No Show,,2026-05-13T01:44:24Z,0,701dYnYIqY2uFSNQNW,0038KoaB9nxZsSwIJL,
00vcBwqpBR7s1xnYM3,Responded,2025-04-28,2025-04-25T07:08:37Z,1,701fkp1RoMk6AO1AXX,003WmIGDtggahJ4Q7Y,
00vgGkXyxdna8uhANS,No Show,,2026-02-20T21:28:28Z,0,701JHaYdXRA67thQMW,003B2rnKtJWVxnSYYD,
00vRml2psMdZCvZI20,Responded,2024-10-01,2024-09-23T01:37:42Z,1,701fmMnRrUO2XdcI3Y,003ZYrjQOc11mxoIVN,
00vynUlgTyINJwdIS7,No Show,,2025-02-28T15:50:23Z,0,701PnzYm01TO5qEICN,003gZazPmf37RusA5F,
00vjOy9LwGbuO52I1H,No Show,,2025-04-29T20:02:08Z,0,701QvNzI8kZyr86YGN,003t59Q046U5DdBQBI,
00v2ozOCMPLdmiJIAW,Sent,,2023-03-16T06:49:54Z,0,701GCHw920l26V2I77,003j2jAFojW9qjMQDM,
00vWrTbqF03gy9JYXO,Sent,,2021-01-28T01:36:29Z,0,701uy02vAEj9sQvINI,003uql3pJq5GjswANL,
00vW8kM5RnoaWkDIWU,No Show,,2021-11-25T21:50:38Z,0,701Da2XS0yWq2GQIB8,003eWy6yqXeGgNqYTR,
00vVnhW40CfAPYeI1X,No Show,,2021-12-13T00:26:44Z,0,701aVdLHYNnMSttA9G,003RjFwodbP5EfaADS,
00vmWXvskLOzKC7YA9,Attended,2024-01-27,2024-01-27T10:21:51Z,1,701Oiy0uiHpmTo7YI9,003M3ZXseoHu6DcQVR,
00vW299H8aSdbhNI32,Opened,,2025-01-11T10:35:20Z,0,701Lqm6F5Co3SCBI77,003lHeTJz2Li1ufIFV,
00vZ6CrtyGhRHGlI2N,Attended,2025-10-21,2025-09-07T16:59:50Z,1,701fmMnRrUO2XdcI3Y,003mOaulT5tUPQNQYQ,
00vGGmJiA5BAjFOQDC,Responded,2022-08-25,2022-08-20T08:59:45Z,1,701fkp1RoMk6AO1AXX,0034a0GDIMZmGWiARF,
00vSAMu60lM3Af2I7D,Attended,2021-12-21,2021-11-13T21:07:04Z,1,701fmMnRrUO2XdcI3Y,003DnDlPXrvzmkCIGX,
00vLT8M335WU5RaIJJ,No Show,,2023-02-04T01:47:45Z,0,7014u4F3TRrguRYASN,003unNnhg4TgV1tAY1,
00viLcMc1DjGld6II3,Attended,2026-04-26,2026-03-18T18:34:08Z,1,701316oqPXGTr5DIOR,003aHFhAFUFcM41YBE,
00v9wcLbi4lMRz6YZD,No Show,,2021-04-13T17:30:31Z,0,7019KuFdn10ijGjI2P,003cuTGE1DhOEKZQCC,
00vLip1TRycWXzUY8M,Sent,,2024-12-22T23:38:05Z,0,70119DkKdradggLYK9,003gBl0zvJ8uI8jIJ4,
00v72KRdiU0FkvzIKV,Attended,2024-02-07,2024-01-11T03:47:24Z,1,701OLah01F81qKCQ4B,003z0yFpL28dVEwAVS,
00v615L5Bg4dg96Y0H,Opened,,2026-01-08T09:31:03Z,0,701VENsf4RdiXcPYUH,003o8Gbo8PQrVB9AF6,
00vTxRHi6fLjhsiA1B,Attended,2022-03-06,2022-03-02T15:14:29Z,1,701Y1pqcY2jefLaYDN,0033QS3LikQqXBuIUW,
00vedackKwI76eZYGQ,Responded,2021-04-22,2021-03-12T01:20:58Z,1,701PnzYm01TO5qEICN,003OXM9PBNS93FRYE1,
00vLt2gdlxsM5p9QG5,Responded,2023-12-18,2023-11-29T03:24:24Z,1,701zPCT7q7BesAmYT9,0034nxjHgc0WFj9I5K,
00vXkSiDFHxywekI2W,No Show,,2021-01-29T19:57:41Z,0,701LVVOQQeQAPERQND,003rTm7hZj8JtoNQBV,
00vSVLcrd8SIob2YEH,No Show,,2024-11-09T19:39:53Z,0,701uy02vAEj9sQvINI,00373EqRvAJ5BuGQVH,
00v3IdMHDqylD0yAG0,Opened,,2022-02-06T23:26:30Z,0,701aVdLHYNnMSttA9G,003XK7ODHYJdsLLAHD,
00vXDQxsNl8Y5dAYVQ,No Show,,2023-08-26T16:03:34Z,0,701wT1CSqLaO8zTQ5F,003mUajdwv6lK8jIWY,
00vl8Dw09wlSOKAIBR,Opened,,2022-01-07T03:33:16Z,0,701v6UAElZEXzGdAI1,003axoHgSewH83KYNB,
00v1gfqM84tI7x0YPO,No Show,,2025-02-23T07:02:28Z,0,7019g7m2YfxR5uxQ6M,003PoMytXiLLY9MQ9O,
00vE9JU50dHHtGcQW5,No Show,,2025-11-17T04:04:58Z,0,7010j7HiIFs5acMAA2,003W4DKHKXcD4DQQF7,
00vrG6GKnuGRtF9YHX,Responded,2022-12-02,2022-12-01T07:12:31Z,1,701QrvLj17YZ3rHQRL,003OGg9ZvpwA06oIKL,
00vMmvMdobSHYY8QY6,Responded,2026-06-30,2026-06-26T23:26:30Z,1,701gBvIFprDgdfxY18,003D3c4EiA0KVHYQ6Q,
00vKyNaWQqjKEgtY53,Sent,,2024-03-24T10:36:04Z,0,701h4U4oQAUQUQiIO5,003jpIM5bWThTevA49,
00vqES6dxX7XsYgYR7,Opened,,2023-12-24T08:36:12Z,0,701v6UAElZEXzGdAI1,003tmqZfelCT2roY1H,
00vkMWQDq1QNZnXY25,Attended,2023-03-27,2023-03-01T07:56:11Z,1,701Oiy0uiHpmTo7YI9,003t8jpzMj1nP8TQM3,
00vXzFVrocouEa9A3X,Sent,,2024-11-22T06:29:19Z,0,701GCHw920l26V2I77,003MZU0Q7PTeiKcYZF,
