Id,Status,Response,CreatedDate,IsInvitee,IsWhat,EventId,RelationId,RelationType
0RE4vuZZs0G1dBe4BE,Maybe,Tentative,2023-11-18T10:28:46Z,1,0,00Urf27rZ1AbdTlEJL,001NRMSr13PD4ICIOI,Account
0REHoEsfXIpOf7WO5R,New,No response,2022-11-05T17:22:55Z,1,0,00UJr7Sh1a0MSijMJ3,,
0REo0Pfs07wZwpPWDH,Declined,Declined,2023-04-20T05:37:30Z,1,0,00U2CWtOXGV9O182BM,003TohofzJbMpSnADD,Contact
0RETlLjYG5YEYInOTG,Maybe,Tentative,2025-03-17T23:42:54Z,1,0,00UgadYM8ZNmiHxMGX,003N7npX1LNheCRIK8,Contact
0REFF8EDwZzfZdV48V,Maybe,Tentative,2022-11-21T01:10:51Z,1,0,00UBg8IGOXNX4wpUMG,00Q0Om40PiVFKjq2C8,Lead
0RERM9iVDJlOvJO4WZ,Maybe,Tentative,2024-02-19T03:25:43Z,1,0,00UmCIjeorC2NbyMST,003J1sCEAVcUhToYVZ,Contact
0RE9ebnl49zzLsLWZZ,Declined,Declined,2025-12-24T10:02:16Z,1,0,00UGXeyCuTyHpmWM5D,00QKKTh4NfWjtWe20U,Lead
0REBAAFUXaiNOlQO0H,Accepted,Accepted,2026-01-08T04:04:55Z,1,0,00UPcOWl6Afyt6GMDM,0034a0GDIMZmGWiARF,Contact
0REHQkxCKzVFPilOEE,Maybe,Tentative,2023-04-18T17:18:31Z,1,0,00U9wsf3HN5EKr328Y,003TjBUAQhuDTFpYUE,Contact
0REO6gcMYAxexJIO74,Accepted,Accepted,2021-04-29T19:37:28Z,1,0,00U54dVV0e2w9YTU73,,
0RECvlSxZMAZfyPO0I,Accepted,Accepted,2025-04-13T09:35:31Z,1,0,00U56yp6i17ApW7U24,003ymOdH07y8GqYQ0O,Contact
0REFRSQAUBvrE5hGQK,Declined,Declined,2024-05-17T01:38:59Z,1,0,00Um9AEQX2SdCvEE3M,003oDJykvTwdFELQMJ,Contact
0RE6DGlgLoPdyh44FH,Accepted,Accepted,2022-08-15T17:20:57Z,1,0,00UTWZTTPSbUwYO2UP,003HFR6Z7w4dO5jINX,Contact
0REA0ePErfPKRA4WE8,Accepted,Accepted,2023-06-22T04:12:31Z,1,0,00UGrNYuWjsU2egMC5,0033SEdevRo9e7GIBC,Contact
0REOUp2Xcx7NS9r4HF,Maybe,Tentative,2023-08-07T01:20:28Z,1,0,00UHhhFu4KvEiFVM23,00QyjUvqYFsdY1zWSC,Lead
0REBnLifox8T2teGA9,Accepted,Accepted,2024-08-23T18:47:35Z,1,0,00Uf5mX6pU8iwM5UAI,0057ufaHufy75ktAX1,User
