Id,AssociationCause,CreatedDate,ObjectId,ObjectType,Territory2Id
0jxiZa6ENb5EB2FAYK,Territory2Rule,2025-01-31T01:51:13Z,001yQSD3rwvt3ZBAV9,Account,0MITSyz0OmeEL3W47W
0jxkBCCXkhIsUOqAKT,Territory2Rule,2025-03-14T04:09:19Z,001lppe6kqinEz1A7H,Account,0MI9TCkBhHzAlSY4ZB
0jxVNHnoYviPbz7IET,Territory2Manual,2023-03-09T11:03:52Z,00QtBn5KmDijvvJ26D,Lead,0MIkKpdWPyI8bzvOT2
0jxdPVa4OgGMM7jATP,Territory2Rule,2026-06-01T17:42:57Z,001FzQ1Vu9hM4AsIVS,Account,0MIhFynwfbVXs9dGVQ
0jxnaCi14Oj1VbyANG,Territory2Manual,2021-07-10T06:11:59Z,001H9tfZGBr7JPsALI,Account,0MIVpi3uiBlDpWQGEO
0jxtRctxMC8PM3AQCQ,Territory2Manual,2023-12-24T03:00:49Z,00QZZa2rFa2tLMg28O,Lead,0MI9TCkBhHzAlSY4ZB
0jxGQqnGjdAfbHMQ90,Territory2Rule,2026-03-14T22:34:33Z,00QjDWd7Giu4mKEE4L,Lead,0MIQn6uAa6LyrpmGIH
0jxKMi13D9HADYYQSY,Territory2Rule,2026-05-19T12:14:05Z,00Qt1Xkxu82vxgUEFN,Lead,0MIl7AqSJ4kdopu43S
0jxXHvscGcJ1ln5QP7,Territory2Manual,2024-08-02T18:09:43Z,00QINgmy22m0Wri1H9,Lead,0MI0gQqg49w1KHlGWP
0jxEhyQWFRwLVEfISP,Territory2Manual,2026-04-12T01:11:44Z,00QT5zJxyfDDNTqMJ3,Lead,0MI9W71ergxUCFa442
0jxPoC1UH3MEiMdAEX,Territory2Manual,2022-11-13T05:48:59Z,00QO2aakkN5n6hZENP,Lead,0MIhFynwfbVXs9dGVQ
0jxvBIKiUMN1ROoQWI,Territory2Rule,2022-10-21T00:15:33Z,001UhwyHPMFM5liAM5,Account,0MI9W71ergxUCFa442
0jxxw0jHkWJVbbII5E,Territory2Rule,2023-11-08T18:05:51Z,001XOGQaJwZLxA8YV5,Account,0MIzC1NVIBnZH17O31
0jxQWwCfAkY0MCqI3A,Territory2Manual,2023-06-08T16:49:44Z,00QzHMoUzMzuv8NUN2,Lead,0MI9TCkBhHzAlSY4ZB
0jxR7d5YEwn5JmgQ3S,Territory2Manual,2025-04-21T08:20:08Z,,,0MIyjKppR3FZep6ORD
0jxVKXzXsckpNVxIMZ,Territory2Rule,2026-02-24T10:19:20Z,00QsFIBxxVA0H5nUU5,Lead,0MI9W71ergxUCFa442
0jxUnvJkUlnr6IpI74,Territory2Rule,2021-01-15T16:16:23Z,001OyqT9LtQtE0fYGU,Account,0MIyjKppR3FZep6ORD
0jxg5TqWi7yZNBfY5I,Territory2Manual,2024-10-29T07:37:34Z,001iMYD4nOjTT4yIZO,Account,0MIhFynwfbVXs9dGVQ
0jxCYCccxtdX2w0YMB,Territory2Manual,2021-07-01T12:07:55Z,00QFrTxBiQ0AougUO4,Lead,0MIQn6uAa6LyrpmGIH
0jxsdQ60TBHbvMoQMU,Territory2Rule,2025-02-21T14:47:38Z,00QLAaYNDYbJtRQM8R,Lead,0MI9TCkBhHzAlSY4ZB
0jxn7AITQ6Aw4ZVA2F,Territory2Manual,2024-07-28T16:51:30Z,00Qkez3p2wvl5vPEZD,Lead,0MI9W71ergxUCFa442
0jxPDXke0F3ay50A5I,Territory2Rule,2023-08-04T23:49:58Z,00QZmOo1mqIUHITEJS,Lead,0MIl7AqSJ4kdopu43S
0jxFIEssc3jQoU5Y2M,Territory2Rule,2021-12-23T14:59:12Z,00Qcz83DRe9x41kUCK,Lead,0MI9TCkBhHzAlSY4ZB
0jxhnk2JjNlyQ1kY2N,Territory2Rule,2022-08-25T12:55:29Z,00Q1z6j0fQ1VQzwMD2,Lead,0MIQn6uAa6LyrpmGIH
0jxTnpxS3Y01x1UAMQ,Territory2Rule,2021-01-24T18:07:25Z,001dst7EZIkJP6gQAU,Account,0MIkKpdWPyI8bzvOT2
0jxNdm33LS1WKlwY20,Territory2Rule,2025-04-15T04:43:57Z,,,0MIw3XpueDmDiAD4NI
