Id,TeamMemberRole,OpportunityAccessLevel,CreatedDate,OpportunityId,UserId
00qI2aKsrrfc34pAN4,Sales Engineer,Edit,2024-01-14T07:35:59Z,006VnpdoBIZCpspASY,005IKQxHrnOfGBxYIU
00qb8PrKTyk3GPFYB5,Executive Sponsor,Read,2021-10-05T08:59:32Z,72ieRpFxOglko7jQAZ,005xEqNFzxKXya6IGV
00qUOyMifGFIYVbYSE,Account Executive,Read,2022-05-13T19:41:42Z,51tfA8ZEmE4BtVvAE8,005NradmkgHLf0bIJ5
00q0vMZmZmSLgOLA5U,Sales Engineer,Edit,2022-12-24T12:31:46Z,51iB8VNbijPpetFIJJ,005pFLSqKe2EKv0Q0O
00qlS5smMIQ1PaUQ3M,Executive Sponsor,Read,2023-07-25T12:35:26Z,720hs9nlVqpsZGJQN5,0055EGfQDBgoAh8IFH
00qkXBIYho5JvuBY8W,Sales Engineer,Edit,2024-08-11T08:51:07Z,500oowxkxV4s3nnYH7,005hfmtBm0piYtTY6K
00qLg2UFRzuOEjbIMF,Executive Sponsor,Edit,2023-10-20T08:52:11Z,70trphiT60GMX0jQVT,005RHpTOWiLP3HTIID
00qNaAkp1uMYFzrYMN,Specialist,Edit,2021-02-17T10:08:57Z,711XnpU5BC0GELIQ7O,005qn7LR76DmPdbQZN
00qZEJU6AoM8KfqAZ1,Executive Sponsor,Read,2024-04-11T11:04:42Z,0062ZVXV6ftQ4OHYB2,005dxKTxH6gxu99IEO
00qh3IeF5K9j2YEYXG,Account Executive,Edit,2023-04-30T23:23:16Z,500wanHgIr5sM0KQUT,005G7PmEiXypty3IQL
00qFslizCErKpw5YFM,Account Executive,Read,2026-03-05T23:48:20Z,810oLjx3DaEqk2RAWB,005xwhqeeWgm4agYMN
00qZVz5witYfgNiQVR,Sales Engineer,Read,2021-04-06T03:05:57Z,01iyRlIGRzmILgdI6F,0055EGfQDBgoAh8IFH
00qzfY3A4ObaB7uA2R,Specialist,Read,2025-03-19T15:05:04Z,026FFY5OeiKBXtzYT8,005lhMYUKPuvXDoIO8
00qYBQK4XcLQQSmQ3W,Sales Engineer,Read,2021-10-11T15:01:39Z,801mn7LPXOVniJyI2X,005LSah1u1GnYGbYOG
00qdyRd4GVVkiouYLZ,Sales Engineer,Read,2021-08-24T06:25:39Z,816jvzLq14lW3XrIBO,005hp0uS7WWG0emI9I
00qpFlDAPACLBAqIAQ,Sales Engineer,Read,2026-03-06T02:59:48Z,811AGzYwwbcrfyVQYD,005pFLSqKe2EKv0Q0O
00qyCty1jrEnYhwQ55,Account Executive,Edit,2025-09-07T03:07:35Z,006FW7esflWhZJjQZQ,005yqybzTtVK8u6IOR
00qYZ7gKxhRKvsoIJ2,Specialist,Read,2026-01-18T20:13:11Z,80ig0h44cCZ9guhILV,005gMY3fFnSvHOzQLX
00qDTbFY4F024GrA9R,Specialist,Edit,2025-12-09T03:30:48Z,810ts46fmKDZIW9Y0M,005RuPGFXVl50YyAI2
