Id,OrderNumber,Status,EffectiveDate,EndDate,Type,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,CurrencyIsoCode,Description,CreatedDate,TotalAmount,AccountId,BillToContactId,ContractId,OpportunityId,Pricebook2Id,QuoteId,ShipToContactId
801JJbAWTtlkSdWQK0,ORD-000000001,Draft,2024-03-17,2027-03-17,New,402 Peterson Drives,Lake Briar,CO,75004,United States,2692 Buchanan Landing,Lake Briar,CO,30613,United States,USD,Synthetic order for test and benchmark use.,2024-03-13T00:49:24Z,2262805.7,001XFpYyxD2bjtqY54,003yKvQsyYokdltYAS,800hkGgUCoOa2G6ABA,006KvgqOCDEtXcYI4R,01sQ4LtuJF9K1vlMFT,,003yKvQsyYokdltYAS
801hgD0wFxs8qxvILS,ORD-000000002,Activated,2021-02-12,2024-02-12,Amendment,16475 Mitchell Fords,Alder Bay,OR,41624,United States,4307 Robinson Trail,Alder Bay,CO,80704,United States,USD,Synthetic order for test and benchmark use.,2021-01-17T09:51:46Z,2641506.55,001lpuGrFmSTBnuY0M,003iCPqm24S6ofqAV0,800LVdxmEzruE4YAQC,80iif3zS8vL3LMDA9N,01sLoYtuPuiAhJSKZN,,003hKEkfAwY1accID2
801w4m7Ch9kPIlXQQE,ORD-000000003,Cancelled,2023-10-26,2024-10-25,New,537 Wilkerson Row,Cedar Crossing,CO,72715,United States,701 Lee Estates,Summit Glen,CA,61041,United States,USD,Synthetic order for test and benchmark use.,2023-10-16T15:55:59Z,2888621.45,001NRMSr13PD4ICIOI,003SsGIBufjqAdwY8V,,006jJ8ct8ZaHG4cYCD,01sQ4LtuJF9K1vlMFT,,003SsGIBufjqAdwY8V
511p7RfkmBgbBjSYVR,ORD-000000004,Activated,2026-04-16,2027-04-16,New,784 Erin Crescent,Summit Glen,CO,84662,United States,5800 Samantha Orchard,Summit Glen,NC,64961,United States,USD,Synthetic order for test and benchmark use.,2026-02-25T07:21:47Z,1092088.64,001uaLZFmzUomVXQGA,003haI7NPKn0gYsQ3M,,71tJO4I6W8tx8W3YAF,01sf902KvuoXgXtOGX,,003haI7NPKn0gYsQ3M
52iOu1GfhrjzgJnY0N,ORD-000000005,Cancelled,2021-10-05,2022-10-05,Renewal,4303 Christopher Oval,Summit Glen,TX,96616,United States,86209 Barbara Roads,Alder Bay,MA,20501,United States,USD,Synthetic order for test and benchmark use.,2021-09-08T21:38:02Z,1152877.68,001C3SilogoPTPGIWX,0034oLsDgUhHMnqY3Z,,726XozNERgAAZDlIZ8,01sLoYtuPuiAhJSKZN,,0034oLsDgUhHMnqY3Z
801sr8WuRpLz8PmYI3,ORD-000000006,Activated,2024-12-23,2025-12-23,New,93010 Carlos Bypass,Cedar Crossing,CA,92163,United States,66185 Terrence Course,Willow Harbor,OR,47718,United States,USD,Synthetic order for test and benchmark use.,2024-10-25T05:58:05Z,1111809.55,001AZHmNsDfQdrZQQD,,,7112i1Hr50yHeraQMN,01sQ4LtuJF9K1vlMFT,,
801omkryWnHnzN6Q3A,ORD-000000007,Cancelled,2021-02-06,2023-02-06,New,1333 Taylor Falls,Willow Harbor,MA,59833,United States,6484 Mendoza Islands,Northhaven,OR,39198,United States,USD,Synthetic order for test and benchmark use.,2021-01-14T01:28:06Z,1587865.93,001eMGa7Y6CNd3wIQE,003qg1kTD89dMrOQ79,,700RYj9OJ0tobSgYEL,01sf902KvuoXgXtOGX,,003qg1kTD89dMrOQ79
016qwCAFG80w9EFAFW,ORD-000000008,Activated,2025-09-21,2026-09-21,New,98050 Breanna Parkway,Lake Briar,WA,79083,United States,535 Rachel Gardens,Summit Glen,TX,41048,United States,USD,Synthetic order for test and benchmark use.,2025-08-06T06:51:08Z,1500488.23,001nyKCWKQ4K1MEQBJ,003MqzQMaSwikQPA9S,,,01sf902KvuoXgXtOGX,,003MqzQMaSwikQPA9S
801owmIQtZ1SsaQYSN,ORD-000000009,Draft,2022-09-11,2025-09-10,Renewal,534 Anderson Rue,Alder Bay,NC,98579,United States,463 Sandoval Lights,Summit Glen,TX,13963,United States,USD,Synthetic order for test and benchmark use.,2022-07-14T22:24:25Z,2407030.71,001tGz7asrOtBm8A2Y,003iAxSVh6VBSMnYJ1,,0061CSDCqAuemlFY07,01sf902KvuoXgXtOGX,,003iAxSVh6VBSMnYJ1
801gey2cMgPiUAFYUS,ORD-000000010,Activated,2025-01-14,2026-01-14,Renewal,24118 Joseph Rapids,Cedar Crossing,MA,82963,United States,8752 Thomas Alley,Lake Briar,MA,98139,United States,USD,Synthetic order for test and benchmark use.,2024-12-22T20:58:30Z,2323875.23,0019ojrY0cvCQ2UQ6L,003VtHtQNFfQs5iQNM,,,01sf902KvuoXgXtOGX,,003m8THYf4oJQr4YY8
