Id,RoleInTerritory2,CreatedDate,IsActive,Territory2Id,UserId
0R0bnFZjOQBKTuPKC8,Manager,2021-11-28T08:45:27Z,1,0MIJkNu03tSUxmjGSK,005ZSIqbJ44gxISAD6
0R0xjMv0u25HLi8KJC,Member,2024-01-22T04:15:55Z,1,0MImLHdZ8TzTCCpG37,005sAEUaULAzZRzQYB
0R0pGtacGbRuTIV09Q,Member,2024-07-02T00:06:00Z,1,0MIhFynwfbVXs9dGVQ,005BCXqjz5iaMXwQAL
0R0aV7tzSIFFtnVKL3,Member,2025-04-15T17:32:00Z,1,0MImLHdZ8TzTCCpG37,005dxKTxH6gxu99IEO
0R0VWPAbl16vX2mC0J,Member,2022-05-22T00:58:20Z,1,0MIpee9LC2z1Et8OTC,0056kxsLcWcZ0y6Y1M
0R08YFc4pR73NrwCZX,Member,2021-10-17T20:02:09Z,1,0MICqLzuYbs6nnLOCB,005wmbTnVpYGoJ1AGI
0R0FNqgSd0IxVoPKLI,Manager,2026-01-10T05:37:42Z,1,0MIzC1NVIBnZH17O31,005hvPRYHDjoBLOQ3X
0R0CTe16OQ2ROqFKLR,Manager,2021-10-29T01:08:01Z,0,0MIl7AqSJ4kdopu43S,005RuPGFXVl50YyAI2
0R0xBqDXu3WmSxrSQZ,Manager,2023-10-19T07:27:40Z,1,0MImLHdZ8TzTCCpG37,005XE0YLnoIgg8hAV9
0R0Io8LefLrtOK6SPP,Manager,2026-02-05T05:07:28Z,1,0MICqLzuYbs6nnLOCB,005qOi29J2o9pHYYCI
0R0BdLCp5ZmuAfp02B,Manager,2023-03-09T00:11:36Z,0,0MIl7AqSJ4kdopu43S,005Me1PVqqNBxKJYQP
0R0isPAYn6046ZI0YK,Member,2025-12-28T02:32:14Z,1,0MIzC1NVIBnZH17O31,0058ltZKG17vpJbQJK
0R0ieU4PjfMzojJ05P,Member,2025-07-07T09:05:58Z,0,0MICqLzuYbs6nnLOCB,005BLrN0FAgafzHY2K
0R0nuut4Aoqj8ujS54,Member,2023-01-06T00:24:43Z,1,0MIyjKppR3FZep6ORD,005dY26xUNDmki4A5N
0R0eciwNobRV7BdKSR,Manager,2021-11-29T03:24:51Z,0,0MIVpi3uiBlDpWQGEO,005X9VIRE3gtc1zYMH
0R0olEaRKwxRSGHKHG,Member,2024-05-21T16:17:50Z,1,0MIJkNu03tSUxmjGSK,005hTpAX3O60UK0AAJ
0R0RDPMhCctlmtDK6H,Manager,2021-07-12T15:24:12Z,1,0MIkKpdWPyI8bzvOT2,005dxKTxH6gxu99IEO
0R0k13CoAdDEdJGCP5,Manager,2026-03-21T10:26:45Z,1,0MIVpi3uiBlDpWQGEO,005RHpTOWiLP3HTIID
0R0D58j6crcmZ3yK6E,Member,2021-01-04T07:51:31Z,1,0MImLHdZ8TzTCCpG37,005lGkJeYS6wczpY2Q
0R0AHNRscjZBFRWSNQ,Manager,2026-03-17T12:33:56Z,1,0MIzC1NVIBnZH17O31,0056Go3C6Dl0bjnQEY
0R0k1iY5wbYs8PeKK8,Manager,2023-05-03T03:14:01Z,1,0MI0gQqg49w1KHlGWP,005VOHFbnLYK0gIIP7
0R0EVatvL4c1gD0K87,Manager,2025-12-12T02:26:49Z,1,0MIQn6uAa6LyrpmGIH,005yqybzTtVK8u6IOR
