Id,Roles,StartDate,EndDate,CreatedDate,IsActive,IsDirect,AccountId,ContactId
07kNTx7DqoYEjiQQR8,Decision Maker,2025-02-08,,2025-02-08T16:53:42Z,1,1,001FChipDL8FyVaQQG,003mvVQdkNBgEFkA0U
07kGi4lfn6sHPE3YKI,Evaluator,2024-06-19,,2024-06-19T22:32:10Z,1,0,001DvFcs2OCjLNHAFJ,003rTm7hZj8JtoNQBV
07kgPb8ZbuJqEDyI69,Business User,2022-08-18,,2022-08-18T11:55:57Z,1,1,001b6p7wMuocXZFIKR,003Z7i47cIIFP47YOK
07kNTmcx6EYIpGuIYF,Decision Maker,2022-05-25,,2022-05-25T21:58:23Z,1,1,001OphrQTgtGmAPIMC,003ZRmXunaCM7ErY90
07kWGArEnodVxFJASR,Decision Maker,2023-05-04,,2023-05-04T13:58:37Z,1,0,001RiZCg1UERbAvQWO,003D0r5zC0keCSRAML
07kgcRvqncLgllbIZC,Business User,2023-07-31,,2023-07-31T05:48:35Z,1,1,001BAfwqbwr0TsUA0T,003QcMefpBN7uCgA7D
07kcbFHGLMBpjGUIXW,Executive Sponsor,2024-02-24,,2024-02-24T14:22:58Z,1,1,001Pv3IESUoMrhiAAG,003E5uo4AoanZJdQ7G
07krDVtuXl37lcJAGW,Business User,2024-07-31,,2024-07-31T23:30:33Z,1,0,0012n9SIy3FafTfYR5,00311jogHN3a9H5QXX
07kULJ5BHBRM8XwYVY,Business User,2024-08-18,,2024-08-18T16:06:29Z,1,1,001ZBID6zyXHdcLAAH,003vxHLuLpe3BlRIW4
07kk09YxNdkB5r5Q4V,Decision Maker,2023-07-14,,2023-07-14T16:53:01Z,1,1,001OphrQTgtGmAPIMC,003m3ncht0KhZ0PATP
07k1RgAnoVfy5Y1AG1,Decision Maker,2022-08-07,,2022-08-07T11:57:20Z,1,0,001MT8Df5qbnGRWI8L,003YP7uuJj5v7HqAZ1
07kWVCEVSVy06JeYYK,Decision Maker,2023-10-22,,2023-10-22T14:20:14Z,1,0,001MMbrZQQUkCyfI5Q,003x0VepNyTEttzY7F
07kfD9gubrdtTAxIZ3,Executive Sponsor,2024-02-05,,2024-02-05T10:10:10Z,1,0,001ll0htSxmTlUFAHW,003efXBMJZqDwiVYYC
07kVOqxqcyqwxnuYTE,Business User,2021-08-23,,2021-08-23T03:05:15Z,1,1,001ZtdM0LykySWPIE4,003fMs2WmqbMFvAI9L
07ktvWKJrjJIhBEIWD,Decision Maker,2024-10-24,,2024-10-24T17:04:01Z,1,1,001eRJ4GILnQbQxQA2,0035lztNUBNMXswYOA
07kmyRuQP3Z7YtoAEV,Business User,2025-07-15,,2025-07-15T04:19:08Z,1,1,001H2ifRi7MnAnLIKL,003a7v5rClLranGAZQ
07kW4C93UKqIvKEIQE,Executive Sponsor,2025-07-12,,2025-07-12T02:28:36Z,1,1,001zOsseTV2G23QAKL,00343LPiVMzOHpwQOI
07kFetaDxZRfG1VY8K,Business User,2022-06-04,,2022-06-04T14:02:14Z,1,1,001Q3kntrifzyYWI62,003Nte2NbHH78qtQ8Y
07kWDSGceNNE2qPIM2,Executive Sponsor,2023-05-30,,2023-05-30T21:40:14Z,1,1,0018MjZShtig55PAG6,003QYJse9mNIwwVAVV
07ktZncU1rkCFREQWC,Business User,2025-11-15,2027-05-20,2025-11-15T03:15:09Z,0,1,001Nq19y9hHnEHcAPQ,0032Ii64oiCGtApICZ
07kPqzzIX6CjO6DYJ1,Business User,2026-04-10,2026-09-05,2026-04-10T14:13:37Z,0,1,001ltvwfHnMcdhbAJS,003FnRw4OpFruhcA9O
07kdVZldHnFBvjwYY8,Executive Sponsor,2026-04-17,2027-12-25,2026-04-17T05:34:31Z,0,0,001FUJDI7PYzDeCQBR,003jf1t0MteutOBYJ6
07kngvD5rR8gUvYA26,Decision Maker,2025-06-15,,2025-06-15T11:32:37Z,1,1,001EzVzzzPDO3QjIJG,003H1yYI5SYtOjSAUN
07k2nm0MCQYENSWYR0,Business User,2023-06-13,2024-04-13,2023-06-13T11:36:06Z,0,1,00134kztbICJD2tYCZ,003KlIgjM61nu5oI9V
07keNhUsQJKo0PfIEG,Business User,2026-03-18,,2026-03-18T07:59:47Z,1,1,001U9TwW1ZhV64GITA,003rYm1EAhfyJPyQ52
07kXmnz9YMSclJEYXT,Executive Sponsor,2025-12-03,,2025-12-03T12:48:37Z,1,1,001LW8OXe6IEB5RAZR,003pEPvom8yD6H1AJ3
07k8ur7M3ufGjq1I6A,Decision Maker,2026-03-12,,2026-03-12T16:08:14Z,1,1,001b6YbqymKD3ZDA0A,0038hPjiyLY5KZaIZG
07kR0wjbV2VelspYIL,Evaluator,2022-08-17,,2022-08-17T04:43:52Z,1,0,001ClNAQA1Xn4fUINT,003ufuo0RMtrVfHQU5
07kRwabIjZh94h1IFC,Executive Sponsor,2026-02-21,,2026-02-21T03:11:04Z,1,1,001lH9xU3b2tTbiIZI,003hR6TrgcBPOioAGZ
07khX3Pyqj6ubzAAJP,Decision Maker,2021-10-26,,2021-10-26T05:33:51Z,1,1,001tqRaHFT1utFgIDH,0035SOW38y1od8zIJW
07khOeQoI9F2kCMYOI,Executive Sponsor,2022-07-02,,2022-07-02T04:48:57Z,1,0,001jsWcaI2ueqNkQ4J,003CYKyRRyyBLH5IV6
07kVZgdKZWd3tW1QSH,Decision Maker,2024-09-18,,2024-09-18T21:32:20Z,1,0,001CnMOxOxVLCc3Q42,003Pb89KV8XsE6tAP2
07kvVflHEN4pcrqALT,Executive Sponsor,2025-01-19,,2025-01-19T08:45:56Z,1,0,001IqN1uANorRv0AGO,003ljgE2o5CJoOEI7M
07kTILoQ2YTtFEPIDT,Decision Maker,2021-05-17,2022-01-10,2021-05-17T10:41:35Z,0,1,001F4OLdqq7HlXbIGG,003iLR5JlCDCrUlAL8
07kKJQ5YtxA8Q3KIC0,Executive Sponsor,2021-07-06,,2021-07-06T06:51:28Z,1,1,001PUaO8FLbQ5tuY7R,003t1CEwBUqc6XgYYE
07kHzkM6jY0coXXQN6,Decision Maker,2024-10-20,,2024-10-20T21:54:06Z,1,0,001qn0PeVSegyj1AFD,003IhTjEGYYSFfTY49
07kNI7fl6lTrWjgQG1,Decision Maker,2024-09-11,,2024-09-11T11:23:20Z,1,1,001FUJDI7PYzDeCQBR,003sa1sCOZNTWwDQEN
07kzxnKJhzb0AtZASP,Executive Sponsor,2021-01-19,,2021-01-19T11:45:35Z,1,0,001sriFmgu6lhqcIL6,0037aesTgeKVdiSYBL
07kF32dnio8cbGSIWV,Evaluator,2023-07-31,,2023-07-31T13:16:28Z,1,1,001XJBJ9looV3jVARS,0034zSxLgVmoVOHI64
07kLNWxyfhEqbxRAX3,Business User,2025-08-08,,2025-08-08T15:50:59Z,1,0,001LT9I3sxXG212YUI,003rN87YQtO4m2UQGR
07k8ACKMLdc2RKPI9F,Business User,2024-10-24,,2024-10-24T10:16:37Z,1,1,001rayeK09xezjmQSY,0032S7prrnFKYtRQH3
07kAhmwDynRKq1YQ9L,Evaluator,2025-01-15,,2025-01-15T12:08:23Z,1,0,00152hx60eiLsO2QGQ,003glOPy3BD2di1YT6
07kpIrxnmb1wZ2zQFU,Business User,2022-06-13,,2022-06-13T13:09:54Z,1,1,001OphrQTgtGmAPIMC,003XjSGqmjbqgdEIPG
07kw3DyTc34ls5uY1I,Decision Maker,2022-04-12,,2022-04-12T16:55:31Z,1,0,001t3ufNKZqVIffYHM,003FD5dV6K3l93CAIJ
07kT7eAefnopjcUAFD,Business User,2021-10-08,,2021-10-08T10:38:27Z,1,1,001uaLZFmzUomVXQGA,003GdKhTzjSREBgY71
07k7mb78qpXfCFwQC7,Executive Sponsor,2023-04-04,2024-01-26,2023-04-04T09:15:09Z,0,1,001C3SilogoPTPGIWX,0034NLRXc49Mr8gYJA
07klyALsCfWYdtTYH3,Evaluator,2022-09-23,,2022-09-23T02:37:50Z,1,1,001I4vmxErKOgEQQME,003n4PysdqBrgwXIT1
07k9D2xGeBrJ2MVQJZ,Business User,2023-01-31,,2023-01-31T07:31:57Z,1,0,001Rc1LJzjoerNoYJJ,003kCsx65ghko6fQ8Z
07ky5zdy91PJrJ3YV7,Executive Sponsor,2024-10-08,,2024-10-08T23:08:57Z,1,0,001mKhmK3YHBLkpIFQ,003iyqX46RecmhLITB
07kyZDWDN5LluWhYAN,Evaluator,2026-01-20,,2026-01-20T02:39:04Z,1,1,001MVhM44DqZNFnI35,003HaoRFTq4EvacIQV
