Id,Name,AssetNumber,SerialNumber,Status,PurchaseDate,InstallDate,UsageEndDate,Description,CreatedDate,Quantity,Price,AccountId,ContactId,ParentId,Product2Id
02iiy0f4ofGq3hXA97,Quantum Pioneer Training Ultimate Ion Deployment,AST-0000000-797,SN-151986406,Purchased,2026-06-27,2026-07-17,2029-07-16,Synthetic entitlement for Quantum Pioneer Training Ultimate Ion.,2026-05-28T17:43:23Z,1.0,32806.58,001g2MhymLdN59YQJG,003r34PQX5GrR3tYM1,,01tEaTYFbf62XyrIGE
02iqKJrELzysmo7QK9,Unified Harbor Support Edge Vector Deployment,AST-0000001-486,SN-320349360,Purchased,2023-08-16,2023-09-08,2026-09-07,Synthetic entitlement for Unified Harbor Support Edge Vector.,2023-07-10T21:18:53Z,25.0,72367.96,001aPvgDsUU73EoIG0,003PCL4YTi6151xAJR,,01tBFNGrwq1AKgWQZM
02ipqe7pEnO6XsBYNZ,Adaptive Compass Advisory Premier Cascade Deployment,AST-0000002-712,SN-370064049,Shipped,2022-03-21,2022-03-24,2023-03-24,Synthetic entitlement for Adaptive Compass Advisory Premier Cascade.,2022-02-22T12:12:02Z,5.0,102673.61,001hY0bG1ZS5TO8AMZ,003QrRvnnVKkSS9Y72,,01tehSnAF5tx1G7IVN
02iYCCjGPpnsvx2AQA,Connected Summit Training Select Meridian Deployment,AST-0000003-404,SN-452090679,Shipped,2025-12-07,2025-12-09,2027-12-09,Synthetic entitlement for Connected Summit Training Select Meridian.,2025-11-28T15:31:16Z,50.0,104867.62,001Wabd306Y5T2XYBQ,003dKp0K9sauzCCQXW,,01tBDs3hhpdYBGwI2D
02ieyW5s5fzvyFoAMC,Elastic Lattice Support Vertex Vector Deployment,AST-0000004-374,SN-523030205,Purchased,2026-04-19,2026-04-22,2029-04-21,Synthetic entitlement for Elastic Lattice Support Vertex Vector.,2026-04-11T19:23:11Z,2.0,145823.18,001pOXC8pNylRaRY5A,003scAaVLxW1tCmYBX,,01tx6kM8gaCVxGVY0I
02iXdvMdHnroTBeAUC,Modular Ember Cloud Service Essential Cobalt Deployment,AST-0000005-230,SN-351145206,Registered,2022-03-27,2022-04-12,2025-04-11,Synthetic entitlement for Modular Ember Cloud Service Essential Cobalt.,2022-01-30T18:04:56Z,2.0,100644.14,001raw2VDD9p9udA5N,003Xf90o9Yz48XaQFE,,01tAKxax5wNHmuXAAK
02iP9V6caFVVJ5MIM0,Open Vertex Advisory Premier Nova Deployment,AST-0000006-663,SN-638869216,Installed,2024-01-29,2024-02-23,2027-02-22,Synthetic entitlement for Open Vertex Advisory Premier Nova.,2024-01-29T14:16:11Z,1.0,120793.0,,003GOul1uSeAdI6IQH,,01tv9oAk6JoaaNjQCS
02ii3nlInCEPejRQR1,Quantum Orbit Data Platform Select Zenith Deployment,AST-0000007-514,SN-259028127,Registered,2022-05-05,2022-05-05,2024-05-04,Synthetic entitlement for Quantum Orbit Data Platform Select Zenith.,2022-04-06T20:21:52Z,1.0,86965.32,001Onbk5O4QRQcvA7I,003qOJR4n4AfhN6QNV,,01tzXDuwSIeVNvXQKW
02iSyzZc3owmOwjA1C,Unified Foundry Cloud Service Vertex Cobalt Deployment,AST-0000008-421,SN-711903244,Registered,2021-02-25,2021-03-25,2023-03-25,Synthetic entitlement for Unified Foundry Cloud Service Vertex Cobalt.,2021-01-13T17:25:04Z,5.0,114753.57,00152hx60eiLsO2QGQ,003EnB6opAJYaJfYMM,,01tzXDuwSIeVNvXQKW
02ifXScBdVdOOMlADY,Adaptive Beacon Data Platform Enterprise Pulse Deployment,AST-0000009-224,SN-315125772,Registered,2026-04-30,2026-04-30,2028-04-29,Synthetic entitlement for Adaptive Beacon Data Platform Enterprise Pulse.,2026-04-05T08:53:16Z,10.0,58071.53,001j6nRokzRlCs1Y07,003IQdBwmh66yd6Y9Z,,
02iCyikjCtB0uRoIM0,Connected Pioneer Data Platform Professional Atlas Deployment,AST-0000010-266,SN-738755586,Installed,2022-04-24,2022-05-12,2023-05-12,Synthetic entitlement for Connected Pioneer Data Platform Professional Atlas.,2022-03-18T13:10:13Z,10.0,20779.8,0012iTFLPNf13nhYPM,003WOAiVxN3PyWHA36,,01tPjohq4E615TII7M
02i5GeHaKl0lIMWYUG,Elastic Harbor Support Standard Horizon Deployment,AST-0000011-897,SN-584601485,Installed,2025-08-14,2025-09-06,2028-09-05,Synthetic entitlement for Elastic Harbor Support Standard Horizon.,2025-08-02T03:22:36Z,10.0,89035.45,001KKprsa8fDGWEQ2J,003C5H0i3f2GJWUIBA,02iYCCjGPpnsvx2AQA,01t7U5ipBfHp1PQIKM
02iUrz8S8FxFINKQD8,Modular Compass Advisory Core Solstice Deployment,AST-0000012-452,SN-454881398,Installed,2021-11-04,2021-11-17,2022-11-17,Synthetic entitlement for Modular Compass Advisory Core Solstice.,2021-09-27T00:53:31Z,2.0,83624.9,001N2mO6ogfdaXBYDK,003D1HiqSb3yIm1QDF,,01tFjJRl0Bl1V77YFI
02iz1RNWt1TcVmYIK2,Open Summit Training Enterprise Aurora Deployment,AST-0000013-245,SN-862590309,Registered,2021-12-12,2021-12-25,2024-12-24,Synthetic entitlement for Open Summit Training Enterprise Aurora.,2021-11-29T00:48:34Z,25.0,122223.2,001v3PBn9EDl48XQNP,003sJ9MWI1R7WmOQOR,,01tPjohq4E615TII7M
02iYmautoYnMNrFIG3,Quantum Lattice Training Professional Ion Deployment,AST-0000014-373,SN-914351024,Registered,2026-06-18,2026-07-16,2027-07-16,Synthetic entitlement for Quantum Lattice Training Professional Ion.,2026-05-09T12:51:49Z,1.0,8277.9,001LInXZfFVYqWIIEB,003bn4lVQmSeD2CAHI,,01tTVbIpQ0ISm2pYRV
02ipBjc7vOKu3S5IQR,Unified Ember Cloud Service Standard Solstice Deployment,AST-0000015-238,SN-190689200,Purchased,2021-04-12,2021-05-08,2023-05-08,Synthetic entitlement for Unified Ember Cloud Service Standard Solstice.,2021-03-26T01:35:58Z,1.0,134232.78,001PygtS3FHgKj8Q8G,003arlaFzH4tmXDYDY,02iqKJrELzysmo7QK9,01tiYJRAccTSvbuYWS
02iFuhl4s2hTwiqABZ,Virtual Vertex Cloud Service Core Cascade Deployment,AST-0000016-297,SN-401310251,Purchased,2022-02-13,2022-02-18,2025-02-17,Synthetic entitlement for Virtual Vertex Cloud Service Core Cascade.,2022-01-02T06:38:37Z,10.0,118483.97,001cML7G0gkmAuyYXM,0035gxrGVtkkQj1QHZ,,01t4NYEPhUw9BamICS
02iQGqsq9z65NC9IQX,Connected Orbit Data Platform Foundation Meridian Deployment,AST-0000017-995,SN-124275713,Purchased,2022-12-19,2023-01-16,2025-01-15,Synthetic entitlement for Connected Orbit Data Platform Foundation Meridian.,2022-11-17T22:09:52Z,50.0,48456.68,001xCcjaWJxjfQtAJX,003CBTA7ejmf7lHQB2,,01tib3QpzkDJ5ZXY0G
