Id,CommentBody,CreatedDate,IsPublished,ParentId
00aegqeVV7P7bgGQ3G,The request was confirmed and routed to the appropriate queue.,2024-06-25T10:12:16Z,0,500Tnu0wBgU8NzLIW2
00apc1tvhzYIMC5AVW,Configuration details reviewed; follow-up information requested.,2021-03-07T04:31:23Z,1,500FuEZPTaNsDUoAM3
00aPdAaYyn7Z7vpAKT,Configuration details reviewed; follow-up information requested.,2022-04-02T01:49:53Z,1,500urOVL14ApOafY8L
00aXgCYeNHpAPTkIPP,Service team reproduced the issue in a synthetic test environment.,2021-06-16T15:27:45Z,1,500rQfSUaGaZ2ByY1E
00aC1diYn8K6Sj5YSU,Configuration details reviewed; follow-up information requested.,2025-04-28T21:53:26Z,1,500bY6xSiZB7CNJIIJ
00ahqlirJCvK9BZYHQ,Resolution steps shared and validation is pending.,2022-03-11T02:01:18Z,1,500IEqkwsVny63dQ0B
00aDdBxJPyxyzChQO2,The request was confirmed and routed to the appropriate queue.,2025-06-17T11:13:57Z,1,500TvBgkGMg0SsWAK9
00aFJI3lwWUFpElQA9,Resolution steps shared and validation is pending.,2026-05-05T16:29:24Z,1,500qiqpT7ybCR2nI86
00aN91AdlWJymdHAEM,Resolution steps shared and validation is pending.,2024-11-30T07:31:02Z,1,500YH0KPffLgtEjYQM
00amtpnXhJE79iXYR3,Service team reproduced the issue in a synthetic test environment.,2021-03-03T18:15:18Z,1,500zBoDReiWPinIQIK
00anCRpZjeX0JoKIUA,Service team reproduced the issue in a synthetic test environment.,2026-01-16T10:17:24Z,1,5007ln1a55ffqmbQSA
00aECwU4gQ5G7WcAI8,Service team reproduced the issue in a synthetic test environment.,2022-01-06T20:19:19Z,0,500vVrWMsYQA8PzQ5A
00aq744usCrfTHFY0V,Resolution steps shared and validation is pending.,2025-06-12T06:18:02Z,0,500dFuwOcGLVYhTIPA
00ab4Ge7xPn20wDAFG,Resolution steps shared and validation is pending.,2021-06-05T00:33:22Z,0,500JnRStY81eBchIF6
00aOyIMSsEMGPXCQGO,The request was confirmed and routed to the appropriate queue.,2025-11-28T10:19:46Z,1,500fRHd50Y3uv0mYDR
00aawZ8lndcuc2VY4N,The request was confirmed and routed to the appropriate queue.,2021-09-18T06:36:40Z,0,500Hw7SJvKNZJOdQML
00a7rU1ZchRvm52I2W,Resolution steps shared and validation is pending.,2022-11-17T12:23:33Z,1,500vzU9orpmzOe7QIA
00aTikjCIjQEy8aIX1,Service team reproduced the issue in a synthetic test environment.,2021-07-19T15:19:23Z,1,500U6QU4MM3pTOHYSD
00aYLmj1qGxLkVsAOL,Resolution steps shared and validation is pending.,2025-10-30T10:35:12Z,1,500pDeflY4PEucJYE9
00a9BNBAANVE9dWQC5,The request was confirmed and routed to the appropriate queue.,2025-04-10T01:26:17Z,1,5002HMBG4Pkc6j9I6H
00aSabNzDusIgLeQ3R,Resolution steps shared and validation is pending.,2022-01-01T16:18:50Z,1,500tkFKC6BhnvRVQZS
