Id,ServiceDate,Description,CurrencyIsoCode,CreatedDate,Quantity,UnitPrice,Discount,TotalPrice,OpportunityId,PricebookEntryId
00kF9EVVD8SjGoVI13,2025-04-05,Synthetic Dynamic Pioneer Cloud Service Select Cobalt line item.,USD,2026-04-24T03:03:48Z,25.0,1803.33,15.0,38320.76,006oHxWmI8eINCNYAY,01upkTzkJPJeHFlAAI
00kgSmAbL9gR28VI2X,2022-11-18,Synthetic Integrated Harbor Data Platform Vertex Nova line item.,USD,2026-05-02T06:59:05Z,25.0,17311.32,0.0,432783.0,511HCHmbymadrvJIDX,01uG3ZGIn6X7JIYICW
00kIhNUacAwC4LtAWW,2021-11-04,Synthetic Open Compass Hardware Essential Atlas line item.,USD,2023-09-05T04:59:19Z,10.0,2768.9,20.0,22151.2,006pCWNQf7rGJ3NYY8,01uOtZP5pu0xo2OY25
00kZIrRiSc9YcOwAU8,2025-06-27,Synthetic Precision Summit Data Platform Premier Horizon line item.,USD,2023-08-04T14:36:00Z,25.0,29501.2,15.0,626900.5,02tvRmJ3KgjkxLBYSA,01uBkydzyYz6EoPI8G
00k0ejluh0pLFlzYX7,2024-11-05,Synthetic Rapid Lattice Cloud Service Select Pulse line item.,USD,2024-06-18T01:46:08Z,5.0,21877.0,10.0,98446.5,80iif3zS8vL3LMDA9N,01uva7ba3Azj8ILI8T
00k6uYTacjtMNnvQ8R,2025-02-11,Synthetic Virtual Ember Advisory Vertex Atlas line item.,USD,2025-11-02T23:20:20Z,1.0,20822.42,10.0,18740.18,006xJ6XiObowSlWQBY,01uvcwTUKOnzB3VQFV
00kYsgqoL39CZPHY15,2026-07-27,Synthetic Adaptive Vertex Hardware Enterprise Ion line item.,USD,2023-07-10T07:44:02Z,2.0,5537.25,10.0,9967.05,810eNr2w9bo9QOsYDP,01ulrUP6PcHgsyjA5X
00kmd4Odzp3QtSZQP7,2025-02-03,Synthetic Dynamic Orbit Advisory Professional Solstice line item.,USD,2024-01-18T05:45:40Z,10.0,34438.11,15.0,292723.93,006vIpHM2n19iepAAQ,01uiz7sGwHX5TE3AY8
00kUZBwWpA1UdW3Y4S,2024-05-10,Synthetic Integrated Foundry Training Standard Aurora line item.,USD,2023-01-28T02:19:25Z,10.0,12538.57,20.0,100308.56,52tJCz8frqchjyuY71,01umezOvamoD47dYRU
00kM5xKQyYVgn1JY3U,2024-01-05,Synthetic Open Beacon Cloud Service Core Meridian line item.,USD,2025-01-02T21:58:31Z,5.0,1605.85,0.0,8029.25,006gQCGCiLbdaimACJ,01u2uWEH3Jb5lDlIVZ
00kp7C43I8Io8sLAYO,2021-06-28,Synthetic Precision Pioneer Hardware Enterprise Vector line item.,USD,2021-10-06T10:13:32Z,25.0,8887.48,0.0,222187.0,006GRdo2dWTDRxlAUR,01usZhoMVh5QFp5A8S
00kRk5Yt8lUut57Y1Z,2024-01-09,Synthetic Rapid Harbor Data Platform Professional Cascade line item.,USD,2024-07-26T18:08:16Z,10.0,12649.9,0.0,126499.0,006bSeYa8RGzU9LYYM,01u1v0qA9XAZC18ANO
00kVKb9TCGYXQvcAXF,2022-06-04,Synthetic Virtual Compass Training Standard Meridian line item.,USD,2025-03-19T06:39:39Z,1.0,9354.73,0.0,9354.73,006B0jdoc5Fc2l1QYJ,01uLbKRe3aHzpFnIFF
00kgG1IVNzFgYcvIX0,2022-08-12,Synthetic Adaptive Summit Data Platform Edge Zenith line item.,USD,2021-09-15T17:59:22Z,100.0,41340.98,5.0,3927393.1,01iyRlIGRzmILgdI6F,01u2uWEH3Jb5lDlIVZ
00kjHWTIREaITlaQ8B,2023-06-10,Synthetic Dynamic Lattice Hardware Foundation Cobalt line item.,USD,2026-01-12T12:48:47Z,10.0,41768.54,20.0,334148.32,50iXmb70bfbD7KEAJ4,01ubt6UAjtxypWLAKP
00khXORP1Arf87qIFI,2025-04-13,Synthetic Integrated Ember Advisory Scale Nova line item.,USD,2025-08-15T17:40:15Z,1.0,43434.27,0.0,43434.27,006yj4hydQvfUkhAOJ,01uBIFhzdfmqjNGQMJ
00k8agDYDZB0rGqI2B,2025-08-27,Synthetic Modular Vertex Advisory Ultimate Zenith line item.,USD,2021-11-16T05:12:13Z,100.0,28932.98,5.0,2748633.1,006ne2Lc3ezbmVgAEQ,01uYPTzxMh3mfVBQKH
00km0rIcD31JcOBY06,2023-02-08,Synthetic Precision Orbit Advisory Edge Horizon line item.,USD,2026-04-30T01:03:00Z,50.0,7460.72,10.0,335732.4,71tJO4I6W8tx8W3YAF,01uHQFMUP7xOPHcQI1
00kWlTHz6U9QIHpQZK,2023-06-22,Synthetic Rapid Foundry Training Foundation Pulse line item.,USD,2024-08-10T09:39:29Z,100.0,48798.94,0.0,4879894.0,006pjzRe97smM98AH1,01u45XrA1cIlNlaAJY
00kSokhKgDle7yPACI,2022-05-16,Synthetic Virtual Beacon Hardware Scale Atlas line item.,USD,2023-11-22T17:51:57Z,1.0,955.3,20.0,764.24,52tBxvqCScFZeiWA23,01uWAuUJGwgaQSUQWO
00kCCSFJ8DLOExmYYE,2024-03-01,Synthetic Adaptive Pioneer Data Platform Vertex Horizon line item.,USD,2024-07-10T15:03:26Z,10.0,23558.16,15.0,200244.36,0068gSothaRS3vYARU,01utHXQKP7wXfxpIGW
00kP5EqQO42Ji22A9V,2022-08-23,Synthetic Dynamic Harbor Training Essential Solstice line item.,USD,2021-10-09T18:44:28Z,1.0,33082.53,0.0,33082.53,700bvDr39A6fiQ0Q2S,01u8xZQQ01lrCVlYQL
00khJf243AlZykXAP0,2023-11-05,Synthetic Integrated Compass Hardware Premier Aurora line item.,USD,2024-03-02T16:08:09Z,25.0,48285.42,10.0,1086421.95,80tIcH6603TxTUmY63,01uh03z6u8t52A7Q6A
00kTXcnLrOLMk3uIUY,2023-07-24,Synthetic Modular Summit Advisory Select Ion line item.,USD,2023-09-20T07:32:17Z,100.0,17380.62,15.0,1477352.7,50tf4CWYq6976H4IP3,01uuQt0w3KuspnOYT7
00kXPWIyyxhDKL5QB1,2021-11-24,Synthetic Precision Lattice Advisory Vertex Solstice line item.,USD,2023-01-18T09:30:21Z,25.0,45459.28,0.0,1136482.0,826krwx77MmAQbbQ3A,01uUJWUbolIxMN4AVT
00k8bq0bGpuvHicAHN,2025-01-30,Synthetic Rapid Ember Advisory Essential Cascade line item.,USD,2023-09-14T03:39:23Z,25.0,103.17,0.0,2579.25,006ZDdH46cCuqF0YRL,01uE6z8KW68KSVPQCU
00kMTvLw6t1jGoWYC4,2023-06-26,Synthetic Unified Vertex Support Premier Meridian line item.,USD,2023-02-15T06:11:34Z,10.0,991.08,15.0,8424.18,81tHjA0goD8mPAOI4W,01uocAw17jHIHntY65
00koIyILjeHweUYAHU,2022-07-14,Synthetic Adaptive Orbit Data Platform Standard Vector line item.,USD,2025-11-24T13:30:48Z,5.0,24379.44,20.0,97517.76,011BUAckshJmYB5IO7,01ucOVQYpxTA9fkYLG
00k2c6D9cryVRIGY5G,2021-05-02,Synthetic Dynamic Foundry Training Core Cobalt line item.,USD,2023-09-08T10:02:04Z,25.0,34995.34,0.0,874883.5,81t5gLsXEkTMNZIYQY,01uoGS05grshvSmALG
00kfhrXLa6OUykyAAY,2023-10-06,Synthetic Integrated Beacon Support Enterprise Nova line item.,USD,2022-04-25T05:22:37Z,25.0,8749.72,0.0,218743.0,00iMCI0FdSRMC2lYEN,01uqy7cd4gc1JX3I1T
00k2IHNfVUZxVpAAVE,2026-04-05,Synthetic Modular Pioneer Training Professional Zenith line item.,USD,2026-06-03T06:11:34Z,2.0,37444.9,10.0,67400.82,006h7Obi7hFDVjtIW0,01uT0mP0dgO3n7XQ4T
00kf5OX4ZWNFrnjI06,2023-08-13,Synthetic Precision Harbor Support Standard Cobalt line item.,USD,2023-01-13T15:46:05Z,10.0,46024.28,20.0,368194.24,006XzY78bXcZHCtAV8,01uu63szSOLf3PQQ6M
00ko1o2l3A39X5nIOJ,2022-05-02,Synthetic Rapid Compass Hardware Core Pulse line item.,USD,2026-06-17T04:28:49Z,1.0,20765.37,10.0,18688.83,006zsdrrV9V41dvA1L,01uGTFnbU5d3q8sQ0M
00k0t75JvKr93tAINV,2021-07-12,Synthetic Unified Summit Data Platform Enterprise Atlas line item.,USD,2024-11-25T10:50:50Z,5.0,4862.02,5.0,23094.6,006PcUQhx8X9vEHY3A,01urxQLoY7r3bGEAZO
00kMNWfZbfSTCSYAH7,2026-05-10,Synthetic Adaptive Lattice Training Scale Horizon line item.,USD,2024-03-15T21:52:29Z,50.0,29321.28,20.0,1172851.2,006aXqvn24iiZUPQ5W,01uFt9b3ADxIGMFA8E
00kQvU7k5NoIYcQQ0D,2021-06-01,Synthetic Dynamic Ember Training Ultimate Pulse line item.,USD,2022-08-04T03:56:25Z,2.0,44646.04,15.0,75898.27,006EtRoI6GdsomhQGU,01u5PaTy6Vk6uLCQ0J
00kT9WlPX1Qt0eGIGC,2023-07-19,Synthetic Elastic Vertex Training Edge Aurora line item.,USD,2023-04-13T05:13:29Z,2.0,21636.49,15.0,36782.03,011rT8TLmm58O2vILC,01uoGS05grshvSmALG
00kD24vABOklY1UQSE,2021-06-10,Synthetic Modular Orbit Support Foundation Ion line item.,USD,2022-06-12T02:35:16Z,100.0,24081.55,0.0,2408155.0,006TKuc6w3hFq6FYVL,01uYIe28XneaoiGQKT
00kK1cSqUqegC6YIJH,2025-08-19,Synthetic Precision Foundry Support Scale Solstice line item.,USD,2022-05-29T08:38:09Z,2.0,28759.0,0.0,57518.0,51iBOICsBTqL8e5QBJ,01uab9grZJH19BsQO9
00kovXjlvknUwmmA0Z,2023-10-12,Synthetic Rapid Beacon Data Platform Ultimate Aurora line item.,USD,2024-05-06T23:29:20Z,1.0,46953.0,15.0,39910.05,720N6RfLbcjhIOAYHT,01ugMp6vnqPK29EAUZ
00kwWEgy9CAjwYWAQO,2021-08-16,Synthetic Unified Pioneer Training Edge Meridian line item.,USD,2021-06-16T04:09:55Z,1.0,7424.56,0.0,7424.56,006MqvQY1t1liwuIRM,01uvpBeHAob5K44IMR
00kkXZCH77ReQdxYU4,2025-10-27,Synthetic Adaptive Harbor Data Platform Premier Vector line item.,USD,2024-08-21T04:01:10Z,2.0,37678.91,0.0,75357.82,006lWIsCXMguRQfQMM,01uchoxiqj7a2N5YGA
00kG8gV1P8OCRRgYGT,2023-11-04,Synthetic Dynamic Compass Support Select Cascade line item.,USD,2022-05-10T08:48:38Z,2.0,6169.9,5.0,11722.81,516dKiq4krLu3B0YT2,01uTsGST0Vu9nmEQER
00k5kUlJoXpMKMFQQI,2022-07-02,Synthetic Elastic Summit Support Vertex Meridian line item.,USD,2022-04-24T01:57:25Z,2.0,8671.84,20.0,13874.94,006jmtEA69nNprTQUT,01u6slvrn5euvbnQC8
