Id,EndDate,Description,CurrencyIsoCode,CreatedDate,Quantity,UnitPrice,TotalPrice,OrderId,PricebookEntryId,QuoteLineItemId
802gWj6uXvMz4eqITQ,2027-05-23,Synthetic order item for Dynamic Pioneer Data Platform Essential Vector.,USD,2023-03-01T14:28:30Z,5.0,896.86,4484.3,801nUkL3a91n4PtIQY,01uAFoB6gbzYkh5Y2C,
802ZyXNQFw5KPwqY2G,2026-06-26,Synthetic order item for Integrated Harbor Advisory Premier Cascade.,USD,2023-12-20T21:18:06Z,25.0,26217.8,655445.0,801WIMRXdPtvL7UAY8,01uWAuUJGwgaQSUQWO,0QLwlBMGQOv3JK6WGU
802YmkFbkC97DJGA6I,2028-10-26,Synthetic order item for Open Compass Cloud Service Select Meridian.,USD,2021-11-01T20:53:59Z,5.0,34127.91,170639.55,8015ritwBKtuQ4nAU8,01umeupzeRAiW0pYOE,0QLhEcbrAWmXj2fO5L
802KhGpdHqBuL1uQCS,2027-01-06,Synthetic order item for Precision Summit Data Platform Vertex Vector.,USD,2022-07-11T11:56:55Z,5.0,18212.23,91061.15,8014BProAMkS5GJAU1,01ugTFHnbRbEb6pYO8,0QLSVsBwYqYaRH0G4R
802ynCbDjAOEgn4Q14,2024-12-18,Synthetic order item for Rapid Lattice Support Essential Cobalt.,USD,2023-04-02T07:10:02Z,5.0,50410.51,252052.55,700lhQ96Dnm7zA5QPX,01u7HDlBEYd20cLA7R,0QLFCHblFPDSP8JO20
802BiMvd8h1TjfyIR1,2026-06-11,Synthetic order item for Virtual Ember Support Premier Nova.,USD,2025-04-21T04:45:33Z,1.0,56156.63,56156.63,801KdlpNXQpWqoCYW6,01usZhoMVh5QFp5A8S,0QLqDY4Gg44KsrQ425
802uoNpD6HMxQXvI5M,2023-09-28,Synthetic order item for Adaptive Vertex Support Standard Zenith.,USD,2023-05-19T09:25:08Z,2.0,10145.5,20291.0,801FrqlgceMcfDIQ1M,01uQlVZXfiNQNtRYT9,0QLLV5VJiXidhGm4IL
802LGp8VsXOAgILA5Z,2027-04-28,Synthetic order item for Dynamic Orbit Cloud Service Core Horizon.,USD,2022-10-11T08:01:03Z,5.0,44646.89,223234.45,8017kGmip4EFFvOQS5,01uphLiDJlXg8wvAE3,0QLLCYHZjjxmrb3WWY
802CVT5vu81NfsXIBB,2022-01-07,Synthetic order item for Integrated Foundry Advisory Enterprise Pulse.,USD,2021-02-01T15:35:15Z,25.0,39860.48,996512.0,801iKdBoXcqJjbJQN6,01uufv2InbzDK0iIMO,0QLURGaM07MAexbWSV
802koWw4sNqyZqfQZ3,2025-07-19,Synthetic order item for Open Beacon Cloud Service Professional Atlas.,USD,2025-08-14T03:07:41Z,25.0,41877.95,1046948.75,801bDBm8tY1ZQlmAMB,01uL3wcoUYcBvlqYHO,0QLmSdEaNV9k6SVOBX
802EcFqMS7qZYubYX4,2025-09-29,Synthetic order item for Precision Pioneer Data Platform Standard Horizon.,USD,2025-10-20T09:18:11Z,5.0,45739.75,228698.75,801WgCPGOGf9Ep9AKJ,01uvJ14iKXnNFzDYZQ,0QL27Eb97hyPLNXO3M
802eZH1HkNmB5QfYD9,2022-06-06,Synthetic order item for Rapid Harbor Support Core Solstice.,USD,2024-09-15T06:37:34Z,50.0,1501.26,75063.0,8019XmkqRyUgcMDIRX,01unrr2qf22owZ1IKT,0QLHb68IsTJa2Y5WNM
802Z3Wfr06FrNB5A6X,2025-01-11,Synthetic order item for Virtual Compass Hardware Enterprise Aurora.,USD,2025-12-18T08:17:55Z,2.0,1801.79,3603.58,801vJFEPwjwpmO4ANT,01ueWs86Xwn1DjpQBT,0QLF27Dfg4keyhjO97
802p0eLmA8SgMKEIZP,2023-10-15,Synthetic order item for Adaptive Summit Advisory Scale Ion.,USD,2022-08-15T14:17:00Z,1.0,40203.92,40203.92,801D3DeMAoddhn6IDX,01u07ivu2QA6dAiA8A,0QLibbPtDuXZaC0GZT
802XeqPjuiNRminYOY,2028-01-08,Synthetic order item for Dynamic Lattice Training Ultimate Solstice.,USD,2025-07-11T18:34:53Z,1.0,14146.77,14146.77,801wGTD0LbQ3cPzAJA,01ukgubfNSBfQYaIUA,0QLH5hIwovgIMWxWQE
802miVQ0vhuCBJaYL2,2024-06-15,Synthetic order item for Integrated Ember Advisory Edge Cascade.,USD,2025-07-04T20:26:43Z,5.0,34112.73,170563.65,52ijFzGoeqRE12YQ8B,01uJrQ9nOdWfBOnQ3P,0QLWu7O0wEHELlDOQ1
8027U0DXJMNpoIEI6H,2024-02-21,Synthetic order item for Modular Vertex Hardware Foundation Meridian.,USD,2022-01-29T12:29:43Z,10.0,52979.74,529797.4,50tvdCZfm9bwVVXAVA,01utx3xzWqOvLSGAHV,0QLXuoLWS0K8ApPG6A
802SDr4HbioT76SYCQ,2023-05-26,Synthetic order item for Precision Orbit Training Scale Vector.,USD,2024-11-14T13:46:08Z,5.0,43516.48,217582.4,801a7DM4Pg3ePjoIUF,01uzHe469BAtk1IIB2,0QLK6rFJEZUkUZ641W
802NdgVjgATYYm5AXV,2028-08-08,Synthetic order item for Rapid Foundry Cloud Service Ultimate Cascade.,USD,2024-11-25T05:06:58Z,5.0,9464.69,47323.45,700nsxiqJN8CPTuAII,01uTQrHbd0TJOw2IXT,0QLo6dF9Bg4gj4lO9I
802gmIXF6jow3w4QEA,2026-07-28,Synthetic order item for Virtual Beacon Advisory Edge Nova.,USD,2021-03-02T19:38:17Z,2.0,32315.77,64631.54,8008MBXqOXYhLGiQE0,01u7vqqvITrUHWRI8Z,0QLoX5cXQlZbYjtWUR
802A5PL9R5n9kagA4G,2027-05-03,Synthetic order item for Adaptive Pioneer Advisory Premier Zenith.,USD,2025-07-05T22:51:58Z,10.0,57163.55,571635.5,8018gwtbJsMcLrQI9E,01uPYumXiNf3CnhYSE,0QLF27Dfg4keyhjO97
802SrcjfxzFgCjbAAE,2026-04-18,Synthetic order item for Dynamic Harbor Cloud Service Select Cobalt.,USD,2021-09-02T18:39:57Z,50.0,22305.13,1115256.5,801f6vBrXhLQ4wbQDY,01ugJ9Is01cBYy5ASF,0QL7q6OIMHfBPqBWMZ
802yKul23Iwq0JLAGU,2024-11-30,Synthetic order item for Integrated Compass Data Platform Vertex Nova.,USD,2025-08-01T12:46:25Z,2.0,56864.09,113728.18,801s3drxwCqhfsmIEM,01ul4xwXCBS1OStY9K,0QLzpB34gJpvTGnGRK
802c0U67AbkDsA4AT1,2029-03-02,Synthetic order item for Modular Summit Cloud Service Essential Atlas.,USD,2021-06-01T19:05:04Z,5.0,16811.65,84058.25,8015EPVpioaqfNDQVH,01uiz7sGwHX5TE3AY8,
802bc00PXdTgiPkQDP,2025-05-07,Synthetic order item for Precision Lattice Data Platform Premier Horizon.,USD,2026-06-20T00:37:42Z,25.0,6769.23,169230.75,801BdmayCc8RCbhYXP,01uEQENe3mhON7SQTB,0QLwsDWT8XIInuYOEM
80295hJtgZpYOR7I8L,2024-06-01,Synthetic order item for Rapid Ember Advisory Select Pulse.,USD,2023-04-17T19:38:09Z,5.0,23006.99,115034.95,80130pu5xI1H55wYE7,01uLbKRe3aHzpFnIFF,0QLtiAmQSGAUGNZWZ3
802VdGz9b0VLXp2Q59,2024-09-05,Synthetic order item for Unified Vertex Data Platform Vertex Atlas.,USD,2023-05-25T19:52:12Z,25.0,41228.23,1030705.75,801bbycDsTUGMLLYKD,01uPVCZ4KnFJ50BYAB,0QLjZAjJuDJDb0FGIB
8025Yc7xTzGHkF3Y75,2028-03-09,Synthetic order item for Adaptive Orbit Training Enterprise Ion.,USD,2025-07-25T14:52:48Z,50.0,21138.69,1056934.5,801BDkQwU0ChDzWY0X,01ujwTES8hRA7BmARX,0QLXKObtjuMVXsu434
802830OZE0YgteHAZ9,2026-11-05,Synthetic order item for Dynamic Foundry Cloud Service Professional Solstice.,USD,2022-12-20T02:30:26Z,5.0,23522.09,117610.45,801z9DWeLkE4qDCINE,01uhW98iIa7YqecQM6,0QLE3kPYg4BnQdiG6L
802JLGV1azF5BlLQQV,2026-09-13,Synthetic order item for Integrated Beacon Training Standard Aurora.,USD,2024-08-10T11:32:20Z,1.0,51752.99,51752.99,71iuskDkUQF9eXuY5A,01uMKVRBOsHCfA1Y65,0QLW0UmPVYbvu6WOX7
802yJwQ74a9snGBQWB,2022-07-24,Synthetic order item for Modular Pioneer Support Core Meridian.,USD,2023-11-03T05:14:35Z,25.0,54465.9,1361647.5,801tHki9WCt84DzATL,01uyJ6zkekdSnuUYV2,0QLbCTRliL6NmtRWBW
802DzguaB72Zk75AKO,2024-10-19,Synthetic order item for Precision Harbor Data Platform Enterprise Vector.,USD,2026-05-29T08:40:43Z,50.0,5282.52,264126.0,801ZSTHJFz2O2OtIQ3,01ugEm18KYgw8XgQ0P,0QLvFyZc6LlaXvCOH5
80224hklHVMLlsbI59,2025-03-14,Synthetic order item for Rapid Compass Support Professional Cascade.,USD,2023-10-15T01:18:31Z,5.0,27726.05,138630.25,801txf4kelD0d7DYIA,01ulGWUVmpG9bEwIRB,
8022UmWmObflVOJQ3Q,2027-01-30,Synthetic order item for Unified Summit Cloud Service Standard Meridian.,USD,2022-10-17T05:34:27Z,25.0,57746.7,1443667.5,011zwMBpWYjHEirATP,01uXemgmbGBj031YMF,
802SUnCyu59ZztwA1F,2029-06-21,Synthetic order item for Adaptive Lattice Cloud Service Edge Zenith.,USD,2024-09-11T00:14:45Z,25.0,37355.97,933899.25,801CtCs7tk94Zo8AXI,01uen5Cpi1qkPs2QED,0QLSFRASS16o8vaG6N
802U7ky31kj37AbQ07,2023-10-30,Synthetic order item for Dynamic Ember Support Foundation Cobalt.,USD,2025-05-27T08:14:24Z,10.0,24999.37,249993.7,801HZwB8PQKyl4DQNK,01uWiKh2xAB4kqIYBW,0QLKsek7CeCxEJpGMB
802KoLSIwkoV17QIFU,2028-09-15,Synthetic order item for Elastic Vertex Advisory Scale Nova.,USD,2024-05-24T23:55:01Z,25.0,20131.67,503291.75,801xiIEZP5JgE4HQP0,01u5lAQdtIRbdv3AQF,0QLxrIIG7l22jROG6F
802wLplTdrHcmCwIQ3,2027-02-03,Synthetic order item for Modular Orbit Data Platform Ultimate Zenith.,USD,2022-10-21T10:09:01Z,1.0,45819.32,45819.32,801OydXCKmMFtgWAXJ,01uqhMa2zt9ioK1IJ8,0QLPiGBrdbRdfJ2O0L
