Id,CurrencyIsoCode,CreatedDate,IsActive,UseStandardPrice,UnitPrice,Pricebook2Id,Product2Id
01uUMrULsydQHm5QR2,USD,2025-12-14T07:14:08Z,1,0,17012.04,01sf902KvuoXgXtOGX,01tSN9ryyEsSczxIUK
01uQ3SXnkvolHhpYHO,USD,2026-01-27T22:26:29Z,1,0,91568.45,01sf902KvuoXgXtOGX,01tdhEbnzCx9gZmI0N
01uMKVRBOsHCfA1Y65,USD,2024-05-30T18:51:02Z,1,0,8333.26,01sf902KvuoXgXtOGX,01tnFIvrye7TJuKI6Y
01ugTFHnbRbEb6pYO8,USD,2023-10-14T17:50:43Z,1,1,58501.42,01sQ4LtuJF9K1vlMFT,01tFkHMuj8shz13IXI
01ulAUjRtN0XkWuANU,USD,2024-11-16T16:49:34Z,1,1,89916.87,01sf902KvuoXgXtOGX,01tBDs3hhpdYBGwI2D
01utx3xzWqOvLSGAHV,USD,2024-10-11T17:46:31Z,1,0,85160.71,01sLoYtuPuiAhJSKZN,01tEGaSJJp85Ed1I1V
01uSKqqqSX58wXjIE2,USD,2021-08-12T22:10:11Z,1,0,48868.02,01sLoYtuPuiAhJSKZN,01tCRyGDRzBg7uOANM
01uLfz5iHhz1ThCASO,USD,2021-04-17T23:37:41Z,1,0,11749.61,01sf902KvuoXgXtOGX,01tzS9ohU8JW5tuYDD
01ubUfoM4bMvoiHY9B,USD,2023-08-17T17:49:37Z,1,0,94252.57,01sf902KvuoXgXtOGX,01tzXDuwSIeVNvXQKW
01uG8I3LXJBT79WQUS,USD,2021-11-02T19:21:21Z,1,0,26825.05,01sQ4LtuJF9K1vlMFT,01tTnVkfEjkD1grILB
01u8rtcKS4F2yn3IV4,USD,2022-09-30T00:29:08Z,1,0,54867.72,01sf902KvuoXgXtOGX,01tkY3ak5ZCRBHjYRC
01uFU41MzP3ypS9IHI,USD,2025-09-24T18:25:51Z,1,0,67268.22,01sJqGPflRJqwqCPRW,01tsLqWnGdfONUtA8Q
01u0ElwG1CqM4RlQXP,USD,2026-06-24T04:38:10Z,1,1,96984.68,01sQ4LtuJF9K1vlMFT,01tXq0A5CBUXNaxY1K
01uCMiYqtdFGhB3QYC,USD,2025-01-29T14:22:27Z,1,1,55627.7,01sJqGPflRJqwqCPRW,01tnSmeh0qnccnoQDY
01ulv13FN8KIvguIY4,USD,2022-02-24T11:04:02Z,1,0,93174.33,01sLoYtuPuiAhJSKZN,01tehSnAF5tx1G7IVN
01uGjHftvnIV4BiIC2,USD,2021-07-31T10:07:41Z,1,1,45051.56,01sQ4LtuJF9K1vlMFT,01tP6t7BgPZZLjmA3O
01uas3XHvt9KGjGY0M,USD,2024-10-24T01:56:16Z,1,0,65259.12,01sf902KvuoXgXtOGX,01tsCLKAaTcpDt3ARN
01uJgiJCNK3WVkDAPN,USD,2021-03-11T03:36:37Z,1,1,82055.69,01sLoYtuPuiAhJSKZN,01tx8wrqOMLNvV7YOZ
01upo6jpkSzQ18bY1T,USD,2024-03-28T02:55:38Z,1,1,15040.74,01sQ4LtuJF9K1vlMFT,01trSqsaQ6MiK9TAAL
01uPVg8XMauyV0HAZ6,USD,2023-12-06T07:09:06Z,1,1,56927.67,01sLoYtuPuiAhJSKZN,01tAY0rfSqXmKmlI0S
01umeupzeRAiW0pYOE,USD,2024-02-04T11:31:04Z,1,0,55475.03,01sf902KvuoXgXtOGX,01tFkHMuj8shz13IXI
01u71TYWHFtX08fYSW,USD,2023-05-03T23:50:21Z,1,0,21109.64,01sf902KvuoXgXtOGX,01toGBkQESLwGrGAB2
01uH8TVOR6V1BHxIUX,USD,2024-10-04T08:23:43Z,1,0,13312.69,01sJqGPflRJqwqCPRW,01tAi7cp22LvTrpYZA
01uT0mP0dgO3n7XQ4T,USD,2022-06-30T03:04:17Z,1,1,17386.19,01sQ4LtuJF9K1vlMFT,01tnSmeh0qnccnoQDY
01uCWB5aWFw8B9nYGC,USD,2022-02-08T18:19:14Z,1,1,77402.53,01sf902KvuoXgXtOGX,01tsLqWnGdfONUtA8Q
01uA2RXWYM0CMYpIIS,USD,2024-10-18T13:38:11Z,1,1,78340.95,01sf902KvuoXgXtOGX,01tx6kM8gaCVxGVY0I
01uwSRPKbLes8ruYIZ,USD,2021-01-18T10:41:59Z,1,1,44762.79,01sQ4LtuJF9K1vlMFT,01tvrfAHswk6XJ6AVT
01uZiSvpgtWj0ysY6I,USD,2025-02-11T00:00:17Z,0,1,79780.26,01sLoYtuPuiAhJSKZN,01tFxFJHOHvc9HvARQ
01uhW98iIa7YqecQM6,USD,2024-04-30T10:17:56Z,1,1,86864.24,01sQ4LtuJF9K1vlMFT,01t3PUJZJM7z7ogYQW
01ugC0Mkcri6dqvADO,USD,2021-07-14T07:01:55Z,1,0,11828.43,01sLoYtuPuiAhJSKZN,01tLLupYH2DWeh5IGW
01ugMlB4PLTImgLQ9A,USD,2023-07-25T08:28:23Z,1,0,42655.73,01sLoYtuPuiAhJSKZN,01tASbpFFJhJzjoAQP
01uJz3Pv66JPasuITX,USD,2026-04-23T11:29:35Z,1,0,3394.03,01sQ4LtuJF9K1vlMFT,01t4NYEPhUw9BamICS
01uSlG3bhH5Uan4QP9,USD,2024-02-13T12:59:42Z,0,0,16725.87,01sLoYtuPuiAhJSKZN,01taesqWUDciy5yISU
01ul4xwXCBS1OStY9K,USD,2026-03-21T11:29:32Z,1,0,46479.3,01sQ4LtuJF9K1vlMFT,01tbDa8NhBMz25CILB
01upxnXBNqcskQpY34,USD,2024-02-29T21:13:32Z,1,0,63435.76,01sf902KvuoXgXtOGX,01tMUwUxqegRhgXQCH
01uNQaEFCEthyrFQ6R,USD,2025-11-24T10:01:31Z,1,0,97644.78,01sf902KvuoXgXtOGX,01tib3QpzkDJ5ZXY0G
01uXvQ0FyxMqlTyA6U,USD,2023-01-04T12:23:28Z,1,0,8225.14,01sJqGPflRJqwqCPRW,01tTVbIpQ0ISm2pYRV
01uWSegLyaCVEZHYIA,USD,2024-05-21T14:40:08Z,1,1,89165.8,01sf902KvuoXgXtOGX,01tASbpFFJhJzjoAQP
01uN1gq3AIwqkHLQ6E,USD,2023-03-18T12:15:09Z,1,1,59619.02,01sLoYtuPuiAhJSKZN,01toGBkQESLwGrGAB2
01uLFcyTBDKmA8CAIK,USD,2025-01-30T12:46:16Z,1,0,10079.69,01sf902KvuoXgXtOGX,01taesqWUDciy5yISU
01uC4cTc6DjS24HIO7,USD,2024-06-05T04:20:40Z,1,0,62957.22,01sLoYtuPuiAhJSKZN,01tOD1lP4jnWx0CIDK
01unEtrRFE14yvMADK,USD,2021-12-14T12:08:17Z,1,1,31366.15,01sLoYtuPuiAhJSKZN,01tajD2y2VoohjWQ7N
01uE6z8KW68KSVPQCU,USD,2023-08-01T10:42:08Z,1,0,11024.31,01sLoYtuPuiAhJSKZN,01tTVbIpQ0ISm2pYRV
01u1zQlV6qpL6i3IK5,USD,2024-05-01T16:04:30Z,1,0,79832.03,01sf902KvuoXgXtOGX,01t45T2r1s9UOtNILZ
01u7vLaR59UNtyJA36,USD,2026-06-18T06:08:46Z,1,1,4005.98,01sJqGPflRJqwqCPRW,01tow8y2sel8hLYA1C
01uzaJG6CPZmbqtY31,USD,2022-06-17T05:07:26Z,1,0,37220.21,01sf902KvuoXgXtOGX,01twCEcgDDkMd9pACR
01ufoNYmByS2ulgYVQ,USD,2024-05-17T23:50:26Z,1,0,11654.72,01sLoYtuPuiAhJSKZN,01tBDs3hhpdYBGwI2D
01u2sFPzvtowgnJIBF,USD,2024-09-22T21:04:22Z,1,0,65284.43,01sLoYtuPuiAhJSKZN,01tQBzLTuDrA4rIY2R
01u40Kg4xcpfdIxION,USD,2021-03-02T07:33:28Z,1,1,89267.59,01sJqGPflRJqwqCPRW,01tKlzapJSynAF7IIM
01ubbImRE6J6ngVAUZ,USD,2025-12-09T13:22:54Z,1,0,11841.55,01sJqGPflRJqwqCPRW,01tuDJ2JWNbzA2jA3S
01uN61feCVWYDNvA39,USD,2022-11-10T17:16:45Z,1,1,68491.22,01sf902KvuoXgXtOGX,01t7aWrLJOCiWZaA9Z
01ulVeriDBY0fFFAK3,USD,2024-08-11T05:19:47Z,1,1,89326.05,01sQ4LtuJF9K1vlMFT,01ti4FfLefoJftJAYI
01u4PmvaoJjErBdQDS,USD,2025-01-29T10:23:08Z,1,0,29553.51,01sQ4LtuJF9K1vlMFT,01tK4wWzmqn0gSVI9U
01uoTx9HsbskBk7AKO,USD,2022-09-14T11:56:21Z,1,1,47367.11,01sQ4LtuJF9K1vlMFT,01tTVbIpQ0ISm2pYRV
01ubVyc6CQkB5e6AHR,USD,2024-10-15T13:46:04Z,1,1,12288.45,01sJqGPflRJqwqCPRW,01tPtwsyf9n0MWKYPH
01ubrNCJ74CTRg1IFI,USD,2024-04-02T00:54:29Z,0,0,64215.72,01sLoYtuPuiAhJSKZN,01tY0Ii9UWBlOfvQCP
01uDWoma98FCSDQIW6,USD,2023-03-27T01:11:36Z,1,0,54775.42,01sQ4LtuJF9K1vlMFT,01tNG3h4vNcQBi8YQG
01uZsFs27d24nGzYS0,USD,2021-03-12T11:00:55Z,1,0,79111.09,01sf902KvuoXgXtOGX,01tnh7cbKXHRNwtAHZ
