Id,Name,QuoteNumber,Status,ExpirationDate,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,CurrencyIsoCode,Description,CreatedDate,Subtotal,Discount,Tax,TotalPrice,GrandTotal,AccountId,ContractId,OpportunityId,Pricebook2Id
2Q7BsEZlxpzBqKOVC3,Synthetic Quote 0000001,Q-00000001,Accepted,2026-03-22,9852 Watson Lake Suite 992,Alder Bay,MA,35963,United States,349 Roth Estates,Cedar Crossing,WA,92038,United States,USD,Synthetic commercial quote for CRM benchmark use.,2026-02-20T09:27:39Z,945889.15,15.0,80400.58,804005.78,884406.36,0014BI0PTpGJAb4ICJ,,006HQn08X5TuPmrAN8,01sLoYtuPuiAhJSKZN
0Q09fHBRshtaMJ8K30,Synthetic Quote 0000002,Q-00000002,Presented,2026-04-07,88135 Jones Mount,Willow Harbor,CA,65722,United States,5195 Flores Ferry Apt. 216,Summit Glen,NC,70719,United States,USD,Synthetic commercial quote for CRM benchmark use.,2026-02-06T07:10:19Z,932769.54,0.0,0.0,932769.54,932769.54,001F4OLdqq7HlXbIGG,,006IRDHZKx9cElBAN3,01sQ4LtuJF9K1vlMFT
6R9qouX56ivZ9e4OXQ,Synthetic Quote 0000003,Q-00000003,Accepted,2025-07-28,60310 White Parks Apt. 180,Alder Bay,TX,71003,United States,49983 Michael Shore Apt. 296,Alder Bay,CO,68300,United States,USD,Synthetic commercial quote for CRM benchmark use.,2025-06-13T02:48:27Z,681074.53,10.0,0.0,612967.08,612967.08,001b1XyoVMftFmnY3Z,,,01sJqGPflRJqwqCPRW
0Q0ryBSxtFWKlQoK9G,Synthetic Quote 0000004,Q-00000004,Accepted,2023-10-15,32594 Timothy Dam,Alder Bay,OR,54948,United States,53437 Lawrence Stream,Summit Glen,NC,56329,United States,USD,Synthetic commercial quote for CRM benchmark use.,2023-08-31T22:05:56Z,906376.77,0.0,45318.84,906376.77,951695.61,001Z9FmqrbfBXeVI9A,,71iQQ8SGfolOwXNQYJ,01sQ4LtuJF9K1vlMFT
0Q08sMMQ5EbPr2Y08K,Synthetic Quote 0000005,Q-00000005,In Review,2024-11-14,4490 Timothy Pass,Summit Glen,OR,11252,United States,83800 Warren Expressway Apt. 671,Willow Harbor,NC,77286,United States,USD,Synthetic commercial quote for CRM benchmark use.,2024-09-30T17:08:29Z,2462236.03,0.0,246223.6,2462236.03,2708459.63,001eMGa7Y6CNd3wIQE,,8114TeEZP44D2r9AVD,01sf902KvuoXgXtOGX
0Q0aMaqaRcjXRlsS1Z,Synthetic Quote 0000006,Q-00000006,In Review,2021-12-15,976 Cooper Row,Northhaven,OR,35598,United States,456 Baker Forks,Willow Harbor,MA,52161,United States,USD,Synthetic commercial quote for CRM benchmark use.,2021-11-15T14:12:16Z,2360034.8,5.0,168152.48,2242033.06,2410185.54,001zC4hdWCH77CfYVC,,,01sf902KvuoXgXtOGX
0Q01zwfI55KkypGSDT,Synthetic Quote 0000007,Q-00000007,Draft,2023-11-17,19352 Nicholas Meadow Suite 105,Lake Briar,CO,57298,United States,30596 Mark Meadows,Lake Briar,OR,43832,United States,USD,Synthetic commercial quote for CRM benchmark use.,2023-08-19T10:50:17Z,1292215.75,0.0,0.0,1292215.75,1292215.75,001mmu9iYNsqBnfYFC,,006vG1ZO5JrIFxYAHH,01sf902KvuoXgXtOGX
0Q0MfXBqOiI6fvFKCQ,Synthetic Quote 0000008,Q-00000008,Accepted,2021-11-01,6376 Kathryn Divide,Willow Harbor,MA,26139,United States,816 Lance Rue Suite 032,Lake Briar,OR,83385,United States,USD,Synthetic commercial quote for CRM benchmark use.,2021-10-02T22:02:35Z,1614913.46,5.0,115062.58,1534167.79,1649230.37,001f6ctaU1r6XIKQI2,,006bSeYa8RGzU9LYYM,01sLoYtuPuiAhJSKZN
0Q0dLMlymny0Yb6SAO,Synthetic Quote 0000009,Q-00000009,In Review,2023-08-10,14636 Thomas Fords Apt. 103,Cedar Crossing,MA,68220,United States,113 Watts Trail Apt. 002,Cedar Crossing,MA,51042,United States,USD,Synthetic commercial quote for CRM benchmark use.,2023-06-26T16:20:48Z,1253590.2,15.0,106555.17,1065551.67,1172106.84,001dst7EZIkJP6gQAU,,006t6F5ojCBw3VQAU3,01sf902KvuoXgXtOGX
0Q0lv7lnAgjiRQQSYT,Synthetic Quote 0000010,Q-00000010,Draft,2022-08-12,69615 Bell Canyon Suite 428,Cedar Crossing,OR,74096,United States,0769 Mccoy Harbors,Northhaven,CO,42119,United States,USD,Synthetic commercial quote for CRM benchmark use.,2022-06-28T07:34:39Z,1514868.45,15.0,96572.86,1287638.18,1384211.04,001yVmlwCnpWY0fA4W,800TDg4eAVdXb61I6Z,006HkjPVxbqd9kgQCU,01sLoYtuPuiAhJSKZN
