Id,Description,CurrencyIsoCode,CreatedDate,Quantity,UnitPrice,Discount,TotalPrice,PricebookEntryId,QuoteId
3DQVphSNnbiLdJSZX6,Synthetic quote line for Quantum Pioneer Data Platform Professional Atlas.,USD,2022-08-17T07:17:40Z,25.0,41603.18,5.0,988075.52,01uWAuUJGwgaQSUQWO,0Q0X3jASRkYKjiIC1O
0QLWzRT8vP1MpANW3K,Synthetic quote line for Unified Harbor Training Standard Horizon.,USD,2026-04-14T22:01:20Z,50.0,6040.53,0.0,302026.5,01uGR4Kmqn34CUgYEF,0Q0fbexjKcgom6u0OT
0QL1gBBKfakyXHXWBW,Synthetic quote line for Adaptive Compass Cloud Service Edge Solstice.,USD,2026-05-07T13:32:45Z,1.0,10933.96,20.0,8747.17,01u1UxX9MCMWUfpAI9,0Q0FHHURgZcUy7iSLU
0QLYTTW1bPL4QMLWEZ,Synthetic quote line for Connected Summit Advisory Foundation Aurora.,USD,2024-09-15T20:09:54Z,10.0,55601.63,15.0,472613.85,01ugTFHnbRbEb6pYO8,0Q01SSfyzxKPaXLCA0
0QLucEPSWEz8CNcWGU,Synthetic quote line for Elastic Lattice Advisory Scale Ion.,USD,2025-08-22T18:35:22Z,50.0,44785.94,20.0,1791437.6,01usZhoMVh5QFp5A8S,0Q0Rx0p5nT6L16Q0DC
0QLldUfPtQjDjzP4RH,Synthetic quote line for Modular Ember Advisory Ultimate Solstice.,USD,2022-04-14T17:24:07Z,2.0,46718.95,10.0,84094.11,01u1FKJlcYnIzS6INT,0Q0fBXDTQPi2ABQKZM
0QLxklyuXLd3L1z4UP,Synthetic quote line for Open Vertex Support Edge Cascade.,USD,2022-10-05T15:14:01Z,50.0,67189.72,0.0,3359486.0,01utRK4lisXcbROYBK,0Q0wrDVORFFwbN7KRN
0QLkqjcDp6f0NfyO1U,Synthetic quote line for Quantum Orbit Hardware Foundation Meridian.,USD,2025-04-11T06:45:12Z,5.0,51122.61,5.0,242832.4,01uc6d0PpSckL4kYOM,0Q0qD5Lqk045agHS2M
0QLjfSDuw25gxvjGZ2,Synthetic quote line for Unified Foundry Support Scale Vector.,USD,2021-07-21T00:37:33Z,50.0,63004.24,15.0,2677680.2,01upghMAFa2ixN1Q3E,0Q01wbPaHeKmWVyKLX
0QLWdEPx7F648ReWV9,Synthetic quote line for Adaptive Beacon Cloud Service Vertex Cascade.,USD,2026-05-14T14:53:18Z,25.0,18475.13,0.0,461878.25,01uArZ6TaDNtlP6YWR,0Q0Y384TIIUxJVTCLI
0QLWLzGrp1fNZnHO75,Synthetic quote line for Connected Pioneer Training Essential Nova.,USD,2022-04-23T00:49:31Z,50.0,12156.15,0.0,607807.5,01uDEI2EKNbkqFhA9H,0Q0768R8cPflZwRKVG
0QLGiMZze30o7iJWSR,Synthetic quote line for Elastic Harbor Support Premier Zenith.,USD,2024-11-27T21:02:34Z,25.0,7512.75,10.0,169036.88,01u2Byfa4IwUJDvQM7,0Q0oJ5bekb3TJOySV9
0QLunTkY25Lm034W0L,Synthetic quote line for Modular Compass Training Select Cobalt.,USD,2021-10-31T21:16:02Z,10.0,16067.11,0.0,160671.1,01uHhc7RdxJfGWFAN9,0Q0dRjUsNjbbMmBS2F
0QLeQWhEA0cY167W28,Synthetic quote line for Open Summit Hardware Vertex Nova.,USD,2024-03-18T14:39:08Z,1.0,39285.28,0.0,39285.28,01uZeDDEOhjxXGiIJ1,0Q02ZTYobN0uvc7C3Q
0QLCobPGhsjhJ9R456,Synthetic quote line for Quantum Lattice Data Platform Essential Atlas.,USD,2024-02-28T11:13:42Z,25.0,68655.61,0.0,1716390.25,01uC4cTc6DjS24HIO7,0Q0AdmHqDmN5xniCYH
0QLi4KzVWf3LdOOGRZ,Synthetic quote line for Unified Ember Data Platform Premier Horizon.,USD,2023-10-11T09:10:13Z,1.0,35527.41,20.0,28421.93,01uV1w6txw3ypc8QJ7,0Q0OrKuhtn0YPfn0I2
0QLsrmjE6uDC15yW9J,Synthetic quote line for Virtual Vertex Advisory Select Pulse.,USD,2023-12-10T17:53:16Z,2.0,51345.87,20.0,82153.39,01ue4CNRY8poPf7Y76,0Q0wY0Rj3GtYmEdCGL
0QLwrlSZicOUNl649H,Synthetic quote line for Connected Orbit Hardware Core Aurora.,USD,2021-12-31T13:19:41Z,1.0,65947.6,15.0,56055.46,01u1UxX9MCMWUfpAI9,0Q0KMQHfFr2knzvCD5
0QLKr1eV9wAGW4zWNR,Synthetic quote line for Elastic Foundry Advisory Enterprise Ion.,USD,2023-04-22T19:11:46Z,2.0,33410.55,5.0,63480.05,01u9wozxj76guXaYLT,0Q0p0qInI3rvKx0KZ0
0QLPYB1KMGTHTnxO8N,Synthetic quote line for Modular Beacon Advisory Professional Solstice.,USD,2024-05-17T07:07:32Z,5.0,6484.83,0.0,32424.15,01u1FKJlcYnIzS6INT,0Q0PLmZTPUQ7VAe02K
0QLfKrfpd38oFrL4LT,Synthetic quote line for Open Pioneer Cloud Service Standard Aurora.,USD,2024-06-20T06:24:26Z,25.0,34821.11,15.0,739948.59,01uXv4K6jjQLtG3AOR,0Q0J9ZkGpmVnC6CCSK
0QLA0Mwwf8BdCwLOLW,Synthetic quote line for Quantum Harbor Training Core Meridian.,USD,2024-04-29T09:26:48Z,5.0,70105.79,15.0,297949.61,01uGrmz54IceEqlY8F,0Q0meK77axnNP5JS26
