Id,Subject,Status,Priority,ActivityDate,Type,Description,CreatedDate,IsClosed,WhatId,WhatType,WhoId,WhoType
00Tz7wxOzHPCPb4E74,Review requirements,Completed,Normal,2022-10-28,Other,Synthetic follow-up activity for CRM workflow testing.,2025-05-12T09:32:06Z,1,02ia43E4oDoaWQHYDQ,Asset,003VeMNXOn4b6m3YPM,Contact
00TU7a9mazbyx9HM8R,Follow up,Deferred,Normal,2024-03-13,Email,Synthetic follow-up activity for CRM workflow testing.,2021-04-20T18:21:02Z,0,701DNuvDGEm4hghY4U,Campaign,00Qah6FYwpEhRIU2ET,Lead
00TRlHUJJpUGsBY219,Send workshop summary,In Progress,Low,2026-05-28,Other,Synthetic follow-up activity for CRM workflow testing.,2022-11-04T18:55:30Z,0,006Xr51ApbSx6A3ANN,Opportunity,003XLYg95CtXxfyIBH,Contact
00TmO4grPVdiOAIE0E,Review requirements,In Progress,Normal,2023-12-30,Call,Synthetic follow-up activity for CRM workflow testing.,2024-10-24T13:35:17Z,0,0018MjZShtig55PAG6,Account,,
00TVsha1YkLfrQAMMJ,Review requirements,Deferred,High,2025-11-22,Email,Synthetic follow-up activity for CRM workflow testing.,2022-01-24T04:48:02Z,0,,,003y1knBdIDifuNYM6,Contact
00TGWlS8dkCwGaNUU1,Review requirements,Not Started,Normal,2026-05-23,Email,Synthetic follow-up activity for CRM workflow testing.,2022-07-22T00:47:18Z,0,500xZVEk5M2JjLqYX5,Case,003GweaslhRRyCLI5I,Contact
00Tgeh6YQ0Ex4XZEXM,Follow up,In Progress,High,2026-03-26,Other,Synthetic follow-up activity for CRM workflow testing.,2023-11-30T01:10:27Z,0,02ia8UpihN4ZMt7QMA,Asset,003ilgtGMtANeRHA6L,Contact
00TDXLxnrdLV0IhMO1,Review requirements,Deferred,Low,2026-04-23,Other,Synthetic follow-up activity for CRM workflow testing.,2022-09-15T12:46:27Z,0,001FvdsL8UlrHiPQB9,Account,003q4mM8M5swTliYEV,Contact
00TuQIQ6Rk0bTtkMTV,Prepare proposal,Completed,Normal,2023-06-09,Other,Synthetic follow-up activity for CRM workflow testing.,2024-06-16T20:36:52Z,1,80ig0h44cCZ9guhILV,Opportunity,,
00Trx0IV9zOOtpaELZ,Send workshop summary,Waiting on someone else,High,2026-01-25,Call,Synthetic follow-up activity for CRM workflow testing.,2023-11-06T21:46:24Z,0,510u5Zwc07XQ5giQ7I,Opportunity,003m5pW1jukUWzjARJ,Contact
00TNSbVYi4W5l1fEP5,Review requirements,Waiting on someone else,Normal,2025-01-08,Call,Synthetic follow-up activity for CRM workflow testing.,2022-10-23T14:38:17Z,0,806StPGH4FF48KzY6G,Opportunity,,
00TkivTgYAikFgUMZA,Send workshop summary,Deferred,Normal,2022-09-26,Call,Synthetic follow-up activity for CRM workflow testing.,2024-02-27T20:25:42Z,0,02iNkSe418Dc5HrINS,Asset,003UY2oCkarj96lQDX,Contact
00TmTRVbk74fU6fEOO,Follow up,Deferred,Normal,2024-03-20,Email,Synthetic follow-up activity for CRM workflow testing.,2026-05-09T01:46:47Z,0,50tDQAjXay993aYQ07,Opportunity,00QZD4ibfvIMk9fMNV,Lead
00TGDRVED42dhK5UBW,Prepare proposal,In Progress,Normal,2026-04-29,Call,Synthetic follow-up activity for CRM workflow testing.,2023-06-22T14:27:27Z,0,,,00QJBZtnhDreBmZURM,Lead
00TRMGJAn6tSD8WUB1,Follow up,Not Started,Low,2024-04-02,Call,Synthetic follow-up activity for CRM workflow testing.,2021-03-28T22:08:24Z,0,52th6NaZzpxGAvAY03,Opportunity,003Fz3E1XnVmgSjI0K,Contact
00TfieXt9ABEMlkEOD,Review requirements,Deferred,Normal,2025-03-26,Email,Synthetic follow-up activity for CRM workflow testing.,2024-03-03T11:50:10Z,0,821L2kXekYpaJdVIFT,Opportunity,003QtF6ypyXl9x7YZ2,Contact
00TKRWaVl41LGJyEPS,Follow up,Deferred,Low,2021-05-29,Other,Synthetic follow-up activity for CRM workflow testing.,2024-10-13T17:20:50Z,0,816p3J8VmnEOsVcISX,Opportunity,003iACK7CJakxp7YNX,Contact
00TDNmnnf4vb6znEAE,Send workshop summary,Completed,Normal,2025-07-16,Email,Synthetic follow-up activity for CRM workflow testing.,2025-02-26T02:50:19Z,1,7014xC7ldfv7uGYYZO,Campaign,003XGJBvjpTzhTrYE3,Contact
00TXAq0kSuvVWcnMB0,Send workshop summary,Not Started,High,2026-07-15,Other,Synthetic follow-up activity for CRM workflow testing.,2024-04-23T10:33:30Z,0,001n3aMHCveux7aI17,Account,003fsY9xmzLb2Z7A1O,Contact
00TDtmwhv4KdOpUUXF,Send workshop summary,Not Started,Low,2026-05-23,Call,Synthetic follow-up activity for CRM workflow testing.,2025-08-12T01:45:23Z,0,7060MLGY29XQYDdIMK,Order,003FKXxBgBiznkCAKK,Contact
00Tt8W525fDq3wq23T,Follow up,Waiting on someone else,Low,2023-12-01,Email,Synthetic follow-up activity for CRM workflow testing.,2021-05-30T03:29:50Z,0,001DmIO5EqT4tawY4D,Account,00QCMDNmwe3VnA8UVK,Lead
00TOyMgzhguB3gvUOD,Send workshop summary,Waiting on someone else,Low,2024-11-06,Call,Synthetic follow-up activity for CRM workflow testing.,2021-05-24T12:06:36Z,0,500wDhDPIHQ7OHJAVF,Case,,
00T7tlduhWJ8VvmU5O,Prepare proposal,Not Started,High,2023-08-15,Call,Synthetic follow-up activity for CRM workflow testing.,2025-07-20T17:25:18Z,0,800XSG7K69svxT0ILN,Contract,003hHNPTLKBHbAAYH3,Contact
00TKwvCVHYakKt1EPZ,Review requirements,In Progress,Normal,2021-04-16,Email,Synthetic follow-up activity for CRM workflow testing.,2025-07-29T01:32:11Z,0,500hzj7G15Vpp6hQNR,Case,001COXkNm3QMaIEDE2,Lead
00TtaFsldgIBX99224,Follow up,Not Started,High,2023-01-02,Other,Synthetic follow-up activity for CRM workflow testing.,2025-05-22T18:51:46Z,0,001Z9FmqrbfBXeVI9A,Account,,
00TW0iOwJKsR7BgUM2,Prepare proposal,Not Started,Normal,2024-11-02,Email,Synthetic follow-up activity for CRM workflow testing.,2022-11-14T20:58:26Z,0,701WVcR9nBSbxB9QPQ,Campaign,003YF00aMIjSewVQZQ,Contact
00TYCxBtHYufkJ4EYP,Review requirements,Waiting on someone else,Normal,2026-03-31,Call,Synthetic follow-up activity for CRM workflow testing.,2023-10-26T19:32:34Z,0,01t12GHQVKMd3OWIQ5,Opportunity,0033OyTlO5QHrP3Y9O,Contact
00T9CpmQwFT7JfUME4,Send workshop summary,Not Started,High,2024-03-30,Other,Synthetic follow-up activity for CRM workflow testing.,2023-08-28T21:36:55Z,0,02iPf0cYHpBgA06QPA,Asset,003f4ot3tLycXfwQM5,Contact
00TXlu9Nurjfg3iU1G,Review requirements,Not Started,Normal,2026-05-30,Other,Synthetic follow-up activity for CRM workflow testing.,2025-10-24T12:09:56Z,0,001th7qwAjYM77cYBH,Account,003D3c4EiA0KVHYQ6Q,Contact
00ThuZ96bvpotxrUBY,Send workshop summary,Deferred,High,2024-08-03,Email,Synthetic follow-up activity for CRM workflow testing.,2025-04-23T07:52:07Z,0,800bUW6Ak8jmWLPY6R,Contract,003AJ3RqXmlhv7yQKP,Contact
00TT2IwhTWkM8sKUU8,Follow up,Completed,Normal,2022-12-25,Email,Synthetic follow-up activity for CRM workflow testing.,2023-03-26T16:10:17Z,1,500J8hE8oHvXzZCI2Z,Case,003FKXxBgBiznkCAKK,Contact
00TCBxCYOrBwnokU2M,Review requirements,Deferred,High,2024-09-09,Other,Synthetic follow-up activity for CRM workflow testing.,2022-11-21T02:19:14Z,0,800b4hPm6qk3M2KARE,Opportunity,,
00TGXOj4F5X6spRU15,Send workshop summary,Waiting on someone else,High,2022-01-07,Email,Synthetic follow-up activity for CRM workflow testing.,2022-01-17T11:26:38Z,0,500956v3Rv1cd8RQAB,Case,003WBEmY2DvUC0JQHN,Contact
00TQ4ILfJ6Aza6uUZG,Send workshop summary,Completed,Low,2026-02-17,Email,Synthetic follow-up activity for CRM workflow testing.,2025-12-14T03:15:33Z,1,,,003CSoanR8VB42SYF1,Contact
00TOMq7he9lcWAAMLG,Follow up,In Progress,Low,2022-04-09,Call,Synthetic follow-up activity for CRM workflow testing.,2021-02-12T01:09:35Z,0,001XFpYyxD2bjtqY54,Account,,
00T5ZzAjeILoZleM6G,Follow up,Completed,Low,2026-05-19,Email,Synthetic follow-up activity for CRM workflow testing.,2021-09-19T18:57:08Z,1,001dst7EZIkJP6gQAU,Account,00QFHrEroVtmFQr2RB,Lead
00TAKimfptV24uR2KS,Send workshop summary,Waiting on someone else,Low,2024-07-20,Other,Synthetic follow-up activity for CRM workflow testing.,2024-09-06T22:30:47Z,0,,,,
00TGUD8jg9pQeBDEMN,Prepare proposal,In Progress,Low,2023-01-13,Email,Synthetic follow-up activity for CRM workflow testing.,2023-02-24T21:26:08Z,0,001Rc1LJzjoerNoYJJ,Account,003iLR5JlCDCrUlAL8,Contact
00TiDeXWj1Hv491MYN,Follow up,Deferred,Normal,2021-07-13,Call,Synthetic follow-up activity for CRM workflow testing.,2021-09-09T21:09:13Z,0,716r3vXZV1fFbgCQPQ,Opportunity,,
00TmdnmqxWqA3qyUHP,Send workshop summary,In Progress,Normal,2023-05-17,Call,Synthetic follow-up activity for CRM workflow testing.,2022-03-09T21:26:38Z,0,001HgM5pPhwEa9BAOB,Account,0030LfI9bdZF3eQINR,Contact
00TDais6MQyu7AK2AG,Send workshop summary,Waiting on someone else,Normal,2022-10-12,Other,Synthetic follow-up activity for CRM workflow testing.,2021-09-12T10:06:29Z,0,001zDxxuW7kQ4BrAGJ,Account,003R375X0ukUtivI7U,Contact
00TCdmOQhSeAl2x25L,Review requirements,Not Started,Normal,2021-09-24,Email,Synthetic follow-up activity for CRM workflow testing.,2025-03-21T06:01:08Z,0,,,00Q8IezAUTmLDYGEVW,Lead
00TzDVYcPABeiYSE0B,Send workshop summary,Not Started,High,2024-02-01,Email,Synthetic follow-up activity for CRM workflow testing.,2025-08-08T16:09:04Z,0,800UuAJBnXDz811QU5,Contract,00Ql4BryXQwy03lEP2,Lead
00T0tlVgx8ifvDNUOA,Send workshop summary,Waiting on someone else,High,2025-05-14,Call,Synthetic follow-up activity for CRM workflow testing.,2025-06-05T03:31:59Z,0,7017OD7USLqvwTSQ40,Campaign,003K076t9EMOdrZIMF,Contact
00T2rbzZN3iOaGMUIE,Send workshop summary,Completed,High,2026-03-03,Email,Synthetic follow-up activity for CRM workflow testing.,2022-09-09T06:39:57Z,1,000CQ9iBxBhpsC9QI8,Opportunity,00368NY30vMuB89IPE,Contact
00TCKpT0jUsA0MVUWE,Review requirements,In Progress,Normal,2023-07-29,Call,Synthetic follow-up activity for CRM workflow testing.,2026-02-19T02:14:41Z,0,001181P9BD1hpxgATH,Account,003OSDMabqDksLrQD8,Contact
00TanW9YuAyTr4oMHX,Review requirements,Completed,High,2022-12-18,Email,Synthetic follow-up activity for CRM workflow testing.,2022-12-05T17:23:23Z,1,721GTQKklxSg6U2AAT,Opportunity,003u51IMmAMkN2vAOO,Contact
00Tu2qI4EmsWPrr2LL,Review requirements,Not Started,Low,2022-11-26,Call,Synthetic follow-up activity for CRM workflow testing.,2022-12-22T00:55:03Z,0,02imLIUemjZZ6rpY1F,Asset,003VmqiZ33dpcQtYHJ,Contact
00T41Ksnz25mN5XEZW,Review requirements,Waiting on someone else,High,2026-04-14,Call,Synthetic follow-up activity for CRM workflow testing.,2022-05-21T18:39:14Z,0,80ig0h44cCZ9guhILV,Opportunity,003D1HiqSb3yIm1QDF,Contact
00TjqQhXGx5yf1V27H,Review requirements,Waiting on someone else,Low,2022-07-04,Email,Synthetic follow-up activity for CRM workflow testing.,2024-11-13T19:43:10Z,0,001EzVzzzPDO3QjIJG,Account,003QUdPFTL5lmb9I29,Contact
00TIS8qS3ZkB9O3UZP,Review requirements,Not Started,High,2025-07-15,Email,Synthetic follow-up activity for CRM workflow testing.,2022-06-11T21:07:43Z,0,001OyqT9LtQtE0fYGU,Account,003GweaslhRRyCLI5I,Contact
00T1D8OgWPxFUSMMOX,Follow up,Waiting on someone else,Normal,2025-01-31,Email,Synthetic follow-up activity for CRM workflow testing.,2024-09-30T22:14:50Z,0,0017zKMESrLRf4iY3C,Account,,
00TqiWgnhfRTYBiEA8,Follow up,Deferred,Low,2024-01-30,Email,Synthetic follow-up activity for CRM workflow testing.,2024-08-23T07:27:40Z,0,020Gm4fyvFYFOodYIU,Opportunity,003unNnhg4TgV1tAY1,Contact
00TjnNm33A53pDS2ND,Send workshop summary,In Progress,Normal,2021-08-31,Email,Synthetic follow-up activity for CRM workflow testing.,2024-08-07T09:15:56Z,0,0016aFsydu36rL2Y22,Account,003SNyJjjgE6TBNYAD,Contact
00TNdrV07Cb7u0mEDA,Follow up,Deferred,Low,2025-06-18,Other,Synthetic follow-up activity for CRM workflow testing.,2023-11-30T11:23:27Z,0,,,003KMIv36mAkfsUY6C,Contact
00TvyLr5DtR3LeWU5Z,Follow up,Completed,Normal,2024-11-18,Email,Synthetic follow-up activity for CRM workflow testing.,2022-02-09T15:47:19Z,1,02iZj7jwXsmGcm2AJZ,Asset,00QXLjQ6nKc1Ai9RKU,Lead
00Tt2MuaWTvVHMfM9U,Follow up,Waiting on someone else,High,2023-04-04,Call,Synthetic follow-up activity for CRM workflow testing.,2022-05-15T05:21:07Z,0,006vG1ZO5JrIFxYAHH,Opportunity,003lZRttcGpB1etYSU,Contact
00ToIBmhhWw9kKb2HP,Send workshop summary,In Progress,High,2026-06-21,Other,Synthetic follow-up activity for CRM workflow testing.,2025-02-26T20:11:34Z,0,500UJEy9vlaphnDYJN,Opportunity,003QN7E7foReTpiAH3,Contact
00TgjpR8B3YfnKMEMV,Review requirements,Deferred,High,2022-06-25,Other,Synthetic follow-up activity for CRM workflow testing.,2021-11-14T19:06:42Z,0,,,00QondrJiMGVh5X22R,Lead
00TFmOqkrC9kUGrU61,Prepare proposal,Not Started,Low,2022-07-03,Call,Synthetic follow-up activity for CRM workflow testing.,2023-06-01T11:56:52Z,0,5001fC6x5AohGAcYO2,Case,003eWhmT5dPzHuRQTV,Contact
00TY9rxB3eTMWWpU78,Review requirements,Waiting on someone else,Normal,2022-11-07,Call,Synthetic follow-up activity for CRM workflow testing.,2024-01-04T22:53:52Z,0,7017CM39bNZR7A7Q8R,Campaign,00QHOErhWN0j3DIE08,Lead
00TFUuNUm0xuetL2T6,Review requirements,Not Started,High,2021-04-07,Other,Synthetic follow-up activity for CRM workflow testing.,2022-12-23T18:48:35Z,0,500kkcxllC5G3rrIXP,Case,003xBwIhy1a5i6GY0X,Contact
00T7BrbHHhxYx5AUPN,Send workshop summary,Completed,Normal,2023-03-14,Other,Synthetic follow-up activity for CRM workflow testing.,2023-12-14T17:44:13Z,1,800yvXK4DCxcbU3QSU,Contract,00QcukeQ4KPYFco235,Lead
00TojfIRVa6k8ouEV0,Follow up,Deferred,Low,2022-02-25,Call,Synthetic follow-up activity for CRM workflow testing.,2022-01-03T05:09:40Z,0,500xH6PMRxNjCeUQE0,Case,003mUajdwv6lK8jIWY,Contact
00TJcpvv9YR9TEQM24,Review requirements,Completed,High,2021-11-20,Call,Synthetic follow-up activity for CRM workflow testing.,2021-07-29T19:57:16Z,1,006I9L295zXfyQJIBG,Opportunity,00QOFJ1UmuNsap0MBA,Lead
00TQexivtkOlPQmMLD,Follow up,Deferred,High,2023-03-29,Email,Synthetic follow-up activity for CRM workflow testing.,2026-05-09T14:31:00Z,0,001IDl2DWYpmmF7QG7,Account,,
00T9F8slgn6hT4ME5C,Prepare proposal,Waiting on someone else,High,2023-04-29,Other,Synthetic follow-up activity for CRM workflow testing.,2024-06-18T04:18:02Z,0,500XG8Nn2qy03aLQN6,Case,003FIVmek07UaeQASM,Contact
00T9dGVJFnqTGeeUA1,Follow up,Deferred,Low,2024-06-01,Call,Synthetic follow-up activity for CRM workflow testing.,2024-05-19T08:10:48Z,0,0018fHG08zFMfdsQ4N,Account,003t59Q046U5DdBQBI,Contact
00TouedWdSGLO0W293,Review requirements,In Progress,High,2022-07-06,Email,Synthetic follow-up activity for CRM workflow testing.,2021-10-13T10:42:13Z,0,02ijjXklJJlvjKqI7P,Asset,003EpjnKkzz0vR9I8W,Contact
00TG9EcnkCxXqD7MHP,Follow up,Deferred,Normal,2026-04-22,Email,Synthetic follow-up activity for CRM workflow testing.,2025-07-27T06:12:49Z,0,02idQzc0gbY6RjVIT9,Asset,,
00T3jecf1JJ3LnB2RA,Review requirements,In Progress,High,2022-04-13,Other,Synthetic follow-up activity for CRM workflow testing.,2021-02-12T01:40:16Z,0,020fW53Isoqztc4QVF,Opportunity,003DFx9HNm88TcXICQ,Contact
00TgoAGKHdsEqDzMYX,Send workshop summary,Completed,High,2023-12-19,Email,Synthetic follow-up activity for CRM workflow testing.,2022-03-05T07:12:57Z,1,500wrP3FKWu1E6MYGA,Case,,
00TvRj8oDUzEoyYMQQ,Send workshop summary,Completed,Normal,2022-03-26,Other,Synthetic follow-up activity for CRM workflow testing.,2023-08-30T16:26:33Z,1,500soCGkCTJ00RqYQ7,Case,003nGkRyMWyM2SMA66,Contact
00T7oZXqL2OTSFHEE5,Review requirements,Deferred,High,2022-06-30,Email,Synthetic follow-up activity for CRM workflow testing.,2022-08-11T22:21:40Z,0,001o5vm8lqkBKW6I3B,Account,003tvCM1fcuqQpjIHZ,Contact
00TaUPfTFY2vZ84M0L,Send workshop summary,In Progress,Normal,2026-07-21,Other,Synthetic follow-up activity for CRM workflow testing.,2025-10-17T21:13:42Z,0,500EZnrltFyqJuiAOM,Case,00376YCBgwVOAc2I8M,Contact
00Tscg0850vR3vDEIP,Follow up,Not Started,Low,2021-09-29,Email,Synthetic follow-up activity for CRM workflow testing.,2023-10-07T06:08:30Z,0,006yjjkxIJr8JLMA8T,Opportunity,,
00TkK7kDgF0faqaMWF,Review requirements,Not Started,Normal,2026-07-11,Call,Synthetic follow-up activity for CRM workflow testing.,2024-03-01T20:49:33Z,0,810xadwgfYTSBtSIEZ,Order,00Ql0D0a4TEiJz72JV,Lead
00TTYnChchTBlNAE4B,Follow up,Waiting on someone else,Low,2025-03-05,Other,Synthetic follow-up activity for CRM workflow testing.,2025-01-22T11:47:50Z,0,0060fyqkOBlBEsPIQ3,Opportunity,,
00T6OIj0Tq6znCGENM,Prepare proposal,Not Started,Low,2022-12-20,Other,Synthetic follow-up activity for CRM workflow testing.,2026-05-26T03:34:36Z,0,701QvNzI8kZyr86YGN,Campaign,00QT6v8z4odWhxSEFH,Lead
00T3qzLnr31SxgtEXR,Review requirements,In Progress,Low,2024-02-04,Other,Synthetic follow-up activity for CRM workflow testing.,2023-09-18T08:55:30Z,0,011rT8TLmm58O2vILC,Opportunity,003aMwKdhCyWygqQZE,Contact
00TBYUJwntCkzWE2FJ,Review requirements,Deferred,Normal,2025-06-13,Call,Synthetic follow-up activity for CRM workflow testing.,2022-03-23T13:31:17Z,0,000xXneMwf8WkNFIAK,Opportunity,0034xXN6eTO5dm0ACL,Contact
00TAawtTcjPvZsW22H,Follow up,In Progress,Low,2024-10-08,Email,Synthetic follow-up activity for CRM workflow testing.,2024-03-30T20:36:51Z,0,,,003t69nGwXnU10oIEM,Contact
00Tm0pteKgQHx33U5M,Review requirements,Not Started,Normal,2023-12-27,Other,Synthetic follow-up activity for CRM workflow testing.,2021-01-25T00:28:56Z,0,,,00QS5B6PThaYMLmMDC,Lead
00TnvqvVYDW4NGtMBD,Review requirements,Completed,Low,2025-05-15,Email,Synthetic follow-up activity for CRM workflow testing.,2026-02-03T09:47:24Z,1,,,003rYm1EAhfyJPyQ52,Contact
00T5ShJIrJeeW33UAA,Prepare proposal,Deferred,Low,2026-04-21,Call,Synthetic follow-up activity for CRM workflow testing.,2024-12-22T16:17:40Z,0,020CZweFplpAgAGALQ,Opportunity,003oeoe9jMRJtsFIXM,Contact
00TUoYfgdIx4jl52AL,Prepare proposal,In Progress,Low,2024-07-01,Other,Synthetic follow-up activity for CRM workflow testing.,2022-02-16T05:21:20Z,0,500Uk3okJz39prIYQG,Case,003ftniDDEnnixkI5V,Contact
00TyX4UfOyt5MRPUEK,Send workshop summary,Completed,Low,2025-05-27,Other,Synthetic follow-up activity for CRM workflow testing.,2022-06-27T12:29:39Z,1,71tJO4I6W8tx8W3YAF,Opportunity,,
00TnQ6O2P9TKFQrEPT,Follow up,Not Started,Low,2021-07-01,Other,Synthetic follow-up activity for CRM workflow testing.,2026-05-23T06:13:59Z,0,02i4KScSo2o6frjA8N,Asset,00QPUAlbV7iQrv52HW,Lead
00TWwQTzenW2vttMNN,Send workshop summary,Not Started,Low,2022-06-30,Other,Synthetic follow-up activity for CRM workflow testing.,2026-06-30T04:46:17Z,0,001smmPkB9oOSZnIQW,Account,003NoFKJ7oGwsLIA00,Contact
00TTNVWXxFPx1qDEIA,Prepare proposal,Deferred,High,2026-06-18,Other,Synthetic follow-up activity for CRM workflow testing.,2024-05-15T03:57:00Z,0,01t0wjd70NYkcAlQRW,Order,,
00TCv3bUzqTTuPyUI9,Prepare proposal,Completed,High,2023-08-04,Other,Synthetic follow-up activity for CRM workflow testing.,2021-07-10T13:17:09Z,1,001CWFhyR8QJd16AFG,Account,003hqbH6MOp2WJZYXE,Contact
