Id,CreatedDate,IsWhat,RelationId,RelationType,TaskId
0RT7tyvqlU4pTJj4JX,2025-01-04T10:19:35Z,0,00399IEKyDGSJm3QHD,Contact,00TYkoO34GSXIHREDS
0RToldFlf5q4F01OVM,2021-05-11T22:55:47Z,0,003go4c3nStxcM3QTZ,Contact,00TpdZhJPRqInt0EA4
0RTG87yaIl8voc4OSC,2023-04-18T07:15:57Z,1,003JiQDqPoDL4GoQTM,Contact,00TgEZ6Y667OfGsMCN
0RTYmvWooaDux4u4HO,2021-08-03T08:04:26Z,1,003m13Waknf6PNX8VB,Lead,00TiAJ6LBwFeYLtUX0
0RTxuyrlyEOhSZhGJ6,2025-09-18T18:08:06Z,1,003cWUYjziFUXOoIW9,Contact,00T3TYlBlpg4MHYU3Y
0RT9jHnQ67aBGLtOI7,2026-06-29T16:24:13Z,1,0057pBBoeyfvmpBIQ5,User,00TD0a4K9FsaZjLUOV
0RTtLjnzVDfrsTP438,2025-08-19T22:47:19Z,1,003GZMiGhmxCKWdILH,Contact,00T0TRPi6KClazmM8S
0RT5AA3UpB1RED14TB,2025-02-14T16:49:10Z,0,00QCi1HCXB2inFYMEF,Lead,00TKAlBF9iih0LAM6H
0RTbSb3wW8gbbpq43K,2025-05-05T06:48:03Z,0,,,00TkZvos9stYEUFMMY
0RT18eeyLXnpPESOEV,2025-05-29T00:30:02Z,0,005hp0uS7WWG0emI9I,User,00TxlJPaWXlX7XvEIV
0RTUzNcAM4NcxTOGZW,2024-11-04T06:53:26Z,1,,,00TX04RBUdCZERm2RR
0RT0Br3thrdLU0YOIY,2024-11-08T22:12:11Z,1,00QewJqqYU3pN1d2EN,Lead,00TZD8MHU9OcB0aET9
0RTUd2ybXwpFcdPGPB,2022-08-13T22:28:29Z,1,,,00T2GupEH3LyuM12WA
0RTT3LVCKapdad0WZ5,2022-03-27T03:38:35Z,0,0050m9uSyo9ZwSj2QH,Lead,00T85NT8nlSw0fdMIB
0RTOGG9WgD4G6lIGAN,2024-02-08T23:57:20Z,1,0034U3thFskqOX8IGI,Contact,00ThpgDBk2Iw4mAM8D
0RTwK9hql5jJtfqG9M,2021-11-08T19:15:38Z,1,,,00TFJh2Lu1YmUgDE80
0RT1bvDyuDw3AvaGE2,2025-12-10T06:58:21Z,1,003sJSyYtqUzipCA70,Contact,00TXfOc674CPwPF2CH
0RTIKNKft0NAqBqOZ5,2023-10-10T06:35:45Z,0,003dV7hH70niauTQ84,Contact,00TZ0wMVE0vuGG9UN4
0RTxEYfIjOt1IecWMH,2022-12-05T22:52:10Z,1,00134kztbICJD2tYCZ,Account,00TzvoXxOvepjEfMMD
0RTaWXaHntF7cQQ4CS,2021-09-04T06:10:41Z,0,005LSah1u1GnYGbYOG,User,00TXlu9Nurjfg3iU1G
0RTKkH79jsaAsbJOZC,2025-10-02T14:30:05Z,0,005mKVeNm7pzbbYYYT,User,00TuH24I1FxJvbbM5M
0RTevrGEKi93yrcGWY,2023-07-17T18:34:00Z,1,003qf4McL0zrGCBQZ8,Contact,00TKvPidqh48TpoE4Y
0RTb6F2InHQ5youG4X,2023-09-19T03:41:57Z,0,,,00TaA5TBDGXMa8OEIS
0RTrXQ0EZlnV26cGB0,2021-05-21T03:36:38Z,0,0031pSvTZV7OfZtAV6,Contact,00T4irp0NjM9w47EHO
0RTTrB4DArUdysaO9T,2024-10-19T08:42:50Z,0,0057ufaHufy75ktAX1,User,00TDayDsOXqSN9ZEEF
0RTV1BNQz6t1yvg4IM,2025-11-28T21:32:56Z,0,,,00TNrKeKh5vhOm12JL
0RTPYXtr3k8A9mWWH1,2025-06-30T18:33:08Z,0,003ZbsFp7oXia3iA34,Contact,00TWsYz3v4GyWQl20R
0RTu8wKR1Txi1L94UY,2024-02-10T12:54:50Z,0,,,00TKRWaVl41LGJyEPS
0RTz7SQHlXVLzIVODG,2022-02-06T15:59:55Z,0,003MaS87mCEpggOQI5,Contact,00TnsSNzh3Nku4UEPH
0RTcG6CMCwJzbvvWN5,2025-03-18T01:00:52Z,1,00Qwa6eBTUdgdW9EDT,Lead,00Tkkp4t8MSsrCoENH
0RTHReVqcrUiDyxW2F,2021-02-09T03:45:15Z,0,003sa1sCOZNTWwDQEN,Contact,00TJNGEsgPAqvG2E16
0RTga2PF5daiqTvWH6,2025-02-12T12:34:44Z,1,0036pKyOJBgDLuPISS,Contact,00TJwUVb8ijpvPGMMI
0RT2ID8e9RYBKI0ON9,2024-05-29T03:44:03Z,0,003KN79fSFd3oQ6IVK,Contact,00Trle5LvNAeZL4E8U
0RTDztfoUY0e3NrGXE,2023-06-24T09:08:35Z,1,003yoRJlL7kWDV0I1D,Contact,00T2Q4wPc4P5WxzE8B
0RTS549You3KAH44JE,2025-11-18T18:50:54Z,1,003Q14cSJBEmxA7ISF,Contact,00TEsQLydt8sLqN2I2
0RTS9tnDrQ2wKatGX5,2025-04-15T16:25:31Z,0,001j7iSsvqojgmCYMF,Account,00TyTylAGcGWWuR2NP
0RTP3fCuAwEXziv42M,2021-07-16T10:59:18Z,0,0057ufaHufy75ktAX1,User,00TePbKHHg76tBcU46
0RTeH7fi0HouuiQWME,2024-09-05T04:56:22Z,1,0035o5gdXA6uoljY5G,Contact,00TNddDiBcutGiOUYK
0RTnRQXpE6UBMk9ORK,2026-06-27T07:03:05Z,0,001X85qfzndbjPoIS1,Account,00TLeHm7OD9sMOd2AX
